feature,rank
feat_289,1
feat_492,2
feat_22,3
feat_393,4
feat_100,5
feat_109,6
feat_408,7
feat_460,8
feat_125,9
feat_316,10
feat_46,11
feat_233,12
feat_232,13
feat_220,14
feat_215,15
feat_397,16
feat_108,17
feat_410,18
feat_7,19
feat_15,20
feat_195,21
feat_203,22
feat_39,23
feat_45,24
feat_52,25
feat_101,26
feat_396,27
feat_164,28
feat_104,29
feat_145,30
feat_428,31
feat_36,32
feat_469,33
feat_165,34
feat_156,35
feat_417,36
feat_334,37
feat_347,38
feat_167,39
feat_248,40
feat_12,41
feat_264,42
feat_14,43
feat_485,44
feat_366,45
feat_313,46
feat_308,47
feat_350,48
feat_72,49
feat_364,50
