dataset,method,feature,real_score,null_p95,empirical_p_value,above_null_p95,n_permutations
breast_cancer_wisconsin,f_classif,radius_mean,474.97555998217797,4.85742237221727,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,perimeter_mean,505.4546811466068,4.713927034265718,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,area_mean,409.50674457268394,4.9944827113503365,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,concavity_mean,409.53156120951985,4.576735621633878,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,concave_points_mean,604.5547064555041,4.3926849509639005,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,radius_worst,635.4209016321784,4.531410703189041,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,perimeter_worst,654.7093579089052,3.8602536321613172,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,area_worst,481.04049556648806,3.9339845859083122,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,concavity_worst,318.6583428276884,3.0911887534297264,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,concave_points_worst,689.7956569938996,3.480970634205686,0.047619047619047616,True,20
breast_cancer_wisconsin,mutual_info,radius_mean,0.3386047156279884,0.013591673524651795,0.047619047619047616,True,20
breast_cancer_wisconsin,mutual_info,perimeter_mean,0.3406983306514392,0.012459152512687028,0.047619047619047616,True,20
breast_cancer_wisconsin,mutual_info,area_mean,0.3109964137342587,0.011137762859551951,0.047619047619047616,True,20
breast_cancer_wisconsin,mutual_info,concavity_mean,0.33613686187690967,0.01619714745025595,0.047619047619047616,True,20
breast_cancer_wisconsin,mutual_info,concave_points_mean,0.39815961848746234,0.011113564350497273,0.047619047619047616,True,20
breast_cancer_wisconsin,mutual_info,radius_worst,0.40368699597938623,0.010377637057206214,0.047619047619047616,True,20
breast_cancer_wisconsin,mutual_info,perimeter_worst,0.38844222930118005,0.012019113843348377,0.047619047619047616,True,20
breast_cancer_wisconsin,mutual_info,area_worst,0.348121542414443,0.012757677718485076,0.047619047619047616,True,20
breast_cancer_wisconsin,mutual_info,concavity_worst,0.30756709297289486,0.017254537382859196,0.047619047619047616,True,20
breast_cancer_wisconsin,mutual_info,concave_points_worst,0.41477928233578965,0.006665188461858178,0.047619047619047616,True,20
customer_churn,f_classif,age,15542.18312139327,3.3962248988989265,0.047619047619047616,True,20
customer_churn,f_classif,support_calls,151840.66427183928,3.806848252238374,0.047619047619047616,True,20
customer_churn,f_classif,payment_delay,33227.99896740087,1.8725536416620445,0.047619047619047616,True,20
customer_churn,f_classif,total_spend,69932.80693593084,2.1673471855413573,0.047619047619047616,True,20
customer_churn,f_classif,last_interaction,7093.560063141173,2.2659765694791734,0.047619047619047616,True,20
customer_churn,f_classif,gender_Female,9877.254650449933,1.9737349176222272,0.047619047619047616,True,20
customer_churn,f_classif,gender_Male,9877.254650449902,1.973734917620745,0.047619047619047616,True,20
customer_churn,f_classif,contract_length_Annual,9929.978669738442,5.198208015048132,0.047619047619047616,True,20
customer_churn,f_classif,contract_length_Monthly,71347.55848281378,4.009057443208796,0.047619047619047616,True,20
customer_churn,f_classif,contract_length_Quarterly,9791.052246327046,3.7516117992655476,0.047619047619047616,True,20
customer_churn,mutual_info,age,0.08303580032425822,0.0006446912517052401,0.047619047619047616,True,20
customer_churn,mutual_info,support_calls,0.22723731995612287,0.0008402562016566417,0.047619047619047616,True,20
customer_churn,mutual_info,payment_delay,0.09369499481289051,0.001254813192514298,0.047619047619047616,True,20
customer_churn,mutual_info,total_spend,0.16952632085836386,0.0008906783298698984,0.047619047619047616,True,20
customer_churn,mutual_info,last_interaction,0.013255837635045675,0.0006898372296217343,0.047619047619047616,True,20
customer_churn,mutual_info,gender_Female,0.015315394853769482,0.0002294225076853396,0.047619047619047616,True,20
customer_churn,mutual_info,gender_Male,0.015315394853769482,0.0002294225076853396,0.047619047619047616,True,20
customer_churn,mutual_info,contract_length_Annual,0.016777100499836772,0.00020789801421092492,0.047619047619047616,True,20
customer_churn,mutual_info,contract_length_Monthly,0.1273091973361331,0.0002049970673314278,0.047619047619047616,True,20
customer_churn,mutual_info,contract_length_Quarterly,0.01304959368133779,0.00023569546512069165,0.047619047619047616,True,20
madelon,f_classif,feat_48,20.263712904263098,2.3461465975127083,0.047619047619047616,True,20
madelon,f_classif,feat_64,33.8820918886158,3.764689684433649,0.047619047619047616,True,20
madelon,f_classif,feat_105,24.272663873565524,5.273289218697911,0.047619047619047616,True,20
madelon,f_classif,feat_128,24.60339263406139,4.845116638074082,0.047619047619047616,True,20
madelon,f_classif,feat_241,64.9647328834236,2.968929469599139,0.047619047619047616,True,20
madelon,f_classif,feat_336,34.003655434292206,3.6390901887043086,0.047619047619047616,True,20
madelon,f_classif,feat_338,18.261026463533273,4.442266208094778,0.047619047619047616,True,20
madelon,f_classif,feat_378,18.944021978226207,2.5020314801623975,0.047619047619047616,True,20
madelon,f_classif,feat_442,17.83095988135783,5.776048463899974,0.047619047619047616,True,20
madelon,f_classif,feat_475,66.24959543630754,3.4443237355155256,0.047619047619047616,True,20
madelon,mutual_info,feat_48,0.008445955655280314,0.0022819527078600573,0.047619047619047616,True,20
madelon,mutual_info,feat_64,0.016083577843983572,0.0024396215988715447,0.047619047619047616,True,20
madelon,mutual_info,feat_105,0.013442335473457731,0.003991503490665693,0.047619047619047616,True,20
madelon,mutual_info,feat_128,0.013968853142931833,0.002646641801237619,0.047619047619047616,True,20
madelon,mutual_info,feat_241,0.026352388492579346,0.003257693793076478,0.047619047619047616,True,20
madelon,mutual_info,feat_336,0.016002609517237372,0.002794891092416756,0.047619047619047616,True,20
madelon,mutual_info,feat_338,0.019606369858989527,0.005430919126241478,0.047619047619047616,True,20
madelon,mutual_info,feat_442,0.010854848835095576,0.004464037252249895,0.047619047619047616,True,20
madelon,mutual_info,feat_472,0.010775897045969433,0.003106337556182017,0.047619047619047616,True,20
