dataset,n_features,mi_target_vector_table,pairwise_mi_matrix_table,mean_I_i,max_I_i,mean_R_ij_offdiag,max_R_ij_offdiag,n_continuous_binned,n_discrete_kept,mi_bins,mi_strategy,normalization_note
breast_cancer_wisconsin,30,results/tables/05_feature_selection/fs_qfs_mi_target_vector__breast_cancer_wisconsin.csv,results/tables/05_feature_selection/fs_qfs_pairwise_mi_matrix__breast_cancer_wisconsin.csv,0.16468126762442495,0.41477928233578965,0.12060321345198284,1.1278126521448635,30,0,5,uniform,MI discreta sin filtro por umbral y sin normalización min-max en Fase 5; verificar en Fase 8 para no normalizar dos veces.
customer_churn,15,results/tables/05_feature_selection/fs_qfs_mi_target_vector__customer_churn.csv,results/tables/05_feature_selection/fs_qfs_pairwise_mi_matrix__customer_churn.csv,0.05193539048830733,0.22853406732461187,0.019023758622457282,0.6840413488794608,7,8,5,uniform,MI discreta sin filtro por umbral y sin normalización min-max en Fase 5; verificar en Fase 8 para no normalizar dos veces.
madelon,500,results/tables/05_feature_selection/fs_qfs_mi_target_vector__madelon.csv,results/tables/05_feature_selection/fs_qfs_pairwise_mi_matrix__madelon.csv,0.001794910971831901,0.026352388492579346,0.006181036463298545,0.9904464695290156,486,14,5,uniform,MI discreta sin filtro por umbral y sin normalización min-max en Fase 5; verificar en Fase 8 para no normalizar dos veces.
olive_oil_3class,8,results/tables/05_feature_selection/fs_qfs_mi_target_vector__olive_oil_3class.csv,results/tables/05_feature_selection/fs_qfs_pairwise_mi_matrix__olive_oil_3class.csv,0.32841862988167064,0.6189080816569663,0.2073749366147477,0.5137499679806938,8,0,5,uniform,MI discreta sin filtro por umbral y sin normalización min-max en Fase 5; verificar en Fase 8 para no normalizar dos veces.
olive_oil_9class,8,results/tables/05_feature_selection/fs_qfs_mi_target_vector__olive_oil_9class.csv,results/tables/05_feature_selection/fs_qfs_pairwise_mi_matrix__olive_oil_9class.csv,0.6262932357771327,0.8672053603300772,0.2202613992070705,0.5234042209706382,8,0,5,uniform,MI discreta sin filtro por umbral y sin normalización min-max en Fase 5; verificar en Fase 8 para no normalizar dos veces.
