dataset,method,k,full_mean_abs_corr,selected_mean_abs_corr,full_max_abs_corr,selected_max_abs_corr,full_high_corr_pairs,selected_high_corr_pairs,n_selected_features
breast_cancer_wisconsin,f_classif,3,0.40845783191525487,0.8530983901560002,0.9995769705740929,0.993692096524517,29,1,3
breast_cancer_wisconsin,f_classif,5,0.40845783191525487,0.8532842894759435,0.9995769705740929,0.993692096524517,29,4,5
breast_cancer_wisconsin,f_classif,10,0.40845783191525487,0.8165679779719771,0.9995769705740929,0.9995769705740929,29,20,10
breast_cancer_wisconsin,f_classif,15,0.40845783191525487,0.7003243335866334,0.9995769705740929,0.9995769705740929,29,26,15
breast_cancer_wisconsin,f_classif,20,0.40845783191525487,0.5439192528322835,0.9995769705740929,0.9995769705740929,29,27,20
breast_cancer_wisconsin,f_classif,30,0.40845783191525487,0.40845783191525487,0.9995769705740929,0.9995769705740929,29,29,30
breast_cancer_wisconsin,l1_logistic,3,0.40845783191525487,0.6073112669599362,0.9995769705740929,0.7660201301090769,29,0,3
breast_cancer_wisconsin,l1_logistic,5,0.40845783191525487,0.5475504715656941,0.9995769705740929,0.936265779097578,29,1,5
breast_cancer_wisconsin,l1_logistic,10,0.40845783191525487,0.4840768603856824,0.9995769705740929,0.9778618831057053,29,4,10
breast_cancer_wisconsin,l1_logistic,15,0.40845783191525487,0.4719821433960028,0.9995769705740929,0.9990519116072176,29,9,15
breast_cancer_wisconsin,l1_logistic,20,0.40845783191525487,0.41101537595537085,0.9995769705740929,0.9990519116072176,29,12,20
breast_cancer_wisconsin,l1_logistic,30,0.40845783191525487,0.40845783191525487,0.9995769705740929,0.9995769705740929,29,29,30
breast_cancer_wisconsin,linear_svm,3,0.40845783191525487,0.39035978823435563,0.9995769705740929,0.6161516215632338,29,0,3
breast_cancer_wisconsin,linear_svm,5,0.40845783191525487,0.5629474874869216,0.9995769705740929,0.9466384315258889,29,1,5
breast_cancer_wisconsin,linear_svm,10,0.40845783191525487,0.5752522658951571,0.9995769705740929,0.9990519116072176,29,7,10
breast_cancer_wisconsin,linear_svm,15,0.40845783191525487,0.537782132309143,0.9995769705740929,0.9990519116072176,29,12,15
breast_cancer_wisconsin,linear_svm,20,0.40845783191525487,0.46732425732887906,0.9995769705740929,0.9995769705740929,29,19,20
breast_cancer_wisconsin,linear_svm,30,0.40845783191525487,0.40845783191525487,0.9995769705740929,0.9995769705740929,29,29,30
breast_cancer_wisconsin,mrmr_approx,3,0.40845783191525487,0.15238332406940927,0.9995769705740929,0.39676594665790765,29,0,3
breast_cancer_wisconsin,mrmr_approx,5,0.40845783191525487,0.4112632254483043,0.9995769705740929,0.9923557597593001,29,1,5
breast_cancer_wisconsin,mrmr_approx,10,0.40845783191525487,0.42358104116464057,0.9995769705740929,0.9990519116072176,29,4,10
breast_cancer_wisconsin,mrmr_approx,15,0.40845783191525487,0.43099025292194987,0.9995769705740929,0.9990519116072176,29,13,15
breast_cancer_wisconsin,mrmr_approx,20,0.40845783191525487,0.40333905001032233,0.9995769705740929,0.9995769705740929,29,20,20
breast_cancer_wisconsin,mrmr_approx,30,0.40845783191525487,0.40845783191525487,0.9995769705740929,0.9995769705740929,29,29,30
breast_cancer_wisconsin,mutual_info,3,0.40845783191525487,0.8504397043352193,0.9995769705740929,0.9923557597593001,29,1,3
breast_cancer_wisconsin,mutual_info,5,0.40845783191525487,0.8574914437457334,0.9995769705740929,0.9990519116072176,29,4,5
breast_cancer_wisconsin,mutual_info,10,0.40845783191525487,0.8192054895295853,0.9995769705740929,0.9995769705740929,29,18,10
