dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status,feature_key,feature_original,source_columns,source,has_previous_evidence
breast_cancer_wisconsin,variance,filtros,42,30,symmetry_se,9,1.0025252525252526,True,0.00011863745748996735,397,ok,symmetry,,,,False
breast_cancer_wisconsin,variance,filtros,42,10,fractal_dimension_se,8,1.0025252525252526,True,0.00011863745748996735,397,ok,fractal,,,,False
breast_cancer_wisconsin,variance,filtros,42,15,fractal_dimension_se,8,1.0025252525252526,True,0.00011863745748996735,397,ok,fractal,,,,False
breast_cancer_wisconsin,variance,filtros,42,20,fractal_dimension_se,8,1.0025252525252526,True,0.00011863745748996735,397,ok,fractal,,,,False
breast_cancer_wisconsin,variance,filtros,42,30,fractal_dimension_se,8,1.0025252525252526,True,0.00011863745748996735,397,ok,fractal,,,,False
breast_cancer_wisconsin,variance,filtros,42,30,radius_worst,29,1.0025252525252522,True,0.00011863745748996735,397,ok,radius,,,,False
breast_cancer_wisconsin,variance,filtros,42,30,texture_worst,27,1.0025252525252524,True,0.00011863745748996735,397,ok,texture,,,,False
breast_cancer_wisconsin,variance,filtros,42,10,perimeter_worst,7,1.0025252525252526,True,0.00011863745748996735,397,ok,perimeter,,,,False
breast_cancer_wisconsin,variance,filtros,42,15,perimeter_worst,7,1.0025252525252526,True,0.00011863745748996735,397,ok,perimeter,,,,False
breast_cancer_wisconsin,variance,filtros,42,20,perimeter_worst,7,1.0025252525252526,True,0.00011863745748996735,397,ok,perimeter,,,,False
breast_cancer_wisconsin,variance,filtros,42,30,perimeter_worst,7,1.0025252525252526,True,0.00011863745748996735,397,ok,perimeter,,,,False
breast_cancer_wisconsin,variance,filtros,42,3,area_worst,2,1.0025252525252528,True,0.00011863745748996735,397,ok,area,,,,False
breast_cancer_wisconsin,variance,filtros,42,5,area_worst,2,1.0025252525252528,True,0.00011863745748996735,397,ok,area,,,,False
breast_cancer_wisconsin,variance,filtros,42,10,area_worst,2,1.0025252525252528,True,0.00011863745748996735,397,ok,area,,,,False
breast_cancer_wisconsin,variance,filtros,42,15,area_worst,2,1.0025252525252528,True,0.00011863745748996735,397,ok,area,,,,False
breast_cancer_wisconsin,variance,filtros,42,20,area_worst,2,1.0025252525252528,True,0.00011863745748996735,397,ok,area,,,,False
breast_cancer_wisconsin,variance,filtros,42,30,area_worst,2,1.0025252525252528,True,0.00011863745748996735,397,ok,area,,,,False
breast_cancer_wisconsin,variance,filtros,42,10,smoothness_worst,6,1.0025252525252526,True,0.00011863745748996735,397,ok,smoothness,,,,False
breast_cancer_wisconsin,variance,filtros,42,15,smoothness_worst,6,1.0025252525252526,True,0.00011863745748996735,397,ok,smoothness,,,,False
breast_cancer_wisconsin,variance,filtros,42,20,smoothness_worst,6,1.0025252525252526,True,0.00011863745748996735,397,ok,smoothness,,,,False
breast_cancer_wisconsin,variance,filtros,42,30,smoothness_worst,6,1.0025252525252526,True,0.00011863745748996735,397,ok,smoothness,,,,False
breast_cancer_wisconsin,variance,filtros,42,3,compactness_worst,1,1.0025252525252528,True,0.00011863745748996735,397,ok,compactness,,,,False
breast_cancer_wisconsin,variance,filtros,42,5,compactness_worst,1,1.0025252525252528,True,0.00011863745748996735,397,ok,compactness,,,,False
breast_cancer_wisconsin,variance,filtros,42,10,compactness_worst,1,1.0025252525252528,True,0.00011863745748996735,397,ok,compactness,,,,False
breast_cancer_wisconsin,variance,filtros,42,15,compactness_worst,1,1.0025252525252528,True,0.00011863745748996735,397,ok,compactness,,,,False
breast_cancer_wisconsin,variance,filtros,42,20,compactness_worst,1,1.0025252525252528,True,0.00011863745748996735,397,ok,compactness,,,,False
breast_cancer_wisconsin,variance,filtros,42,30,compactness_worst,1,1.0025252525252528,True,0.00011863745748996735,397,ok,compactness,,,,False
breast_cancer_wisconsin,variance,filtros,42,5,concavity_worst,5,1.0025252525252526,True,0.00011863745748996735,397,ok,concavity,,,,False
breast_cancer_wisconsin,variance,filtros,42,10,concavity_worst,5,1.0025252525252526,True,0.00011863745748996735,397,ok,concavity,,,,False
breast_cancer_wisconsin,variance,filtros,42,15,concavity_worst,5,1.0025252525252526,True,0.00011863745748996735,397,ok,concavity,,,,False
breast_cancer_wisconsin,variance,filtros,42,20,concavity_worst,5,1.0025252525252526,True,0.00011863745748996735,397,ok,concavity,,,,False
breast_cancer_wisconsin,variance,filtros,42,30,concavity_worst,5,1.0025252525252526,True,0.00011863745748996735,397,ok,concavity,,,,False
breast_cancer_wisconsin,variance,filtros,42,5,concave_points_worst,4,1.0025252525252526,True,0.00011863745748996735,397,ok,concave,,,,False
breast_cancer_wisconsin,variance,filtros,42,10,concave_points_worst,4,1.0025252525252526,True,0.00011863745748996735,397,ok,concave,,,,False
breast_cancer_wisconsin,variance,filtros,42,15,concave_points_worst,4,1.0025252525252526,True,0.00011863745748996735,397,ok,concave,,,,False
breast_cancer_wisconsin,variance,filtros,42,20,concave_points_worst,4,1.0025252525252526,True,0.00011863745748996735,397,ok,concave,,,,False
breast_cancer_wisconsin,variance,filtros,42,30,concave_points_worst,4,1.0025252525252526,True,0.00011863745748996735,397,ok,concave,,,,False
breast_cancer_wisconsin,variance,filtros,42,15,symmetry_worst,13,1.0025252525252526,True,0.00011863745748996735,397,ok,symmetry,,,,False
breast_cancer_wisconsin,variance,filtros,42,20,symmetry_worst,13,1.0025252525252526,True,0.00011863745748996735,397,ok,symmetry,,,,False
breast_cancer_wisconsin,variance,filtros,42,30,symmetry_worst,13,1.0025252525252526,True,0.00011863745748996735,397,ok,symmetry,,,,False
breast_cancer_wisconsin,variance,filtros,42,15,fractal_dimension_worst,14,1.0025252525252526,True,0.00011863745748996735,397,ok,fractal,,,,False
breast_cancer_wisconsin,variance,filtros,42,20,fractal_dimension_worst,14,1.0025252525252526,True,0.00011863745748996735,397,ok,fractal,,,,False
breast_cancer_wisconsin,variance,filtros,42,30,fractal_dimension_worst,14,1.0025252525252526,True,0.00011863745748996735,397,ok,fractal,,,,False
breast_cancer_wisconsin,f_classif,filtros supervisados,42,10,radius_mean,7,413.5839803122394,True,0.0004572588950395584,397,ok,radius,,,,False
breast_cancer_wisconsin,f_classif,filtros supervisados,42,15,radius_mean,7,413.5839803122394,True,0.0004572588950395584,397,ok,radius,,,,False
breast_cancer_wisconsin,f_classif,filtros supervisados,42,20,radius_mean,7,413.5839803122394,True,0.0004572588950395584,397,ok,radius,,,,False
breast_cancer_wisconsin,f_classif,filtros supervisados,42,30,radius_mean,7,413.5839803122394,True,0.0004572588950395584,397,ok,radius,,,,False
