feature,rank
texture_worst,1
radius_worst,2
area_worst,3
concavity_worst,4
concavity_mean,5
perimeter_worst,6
concave_points_mean,7
radius_se,8
concave_points_worst,9
area_se,10
smoothness_worst,11
fractal_dimension_se,12
area_mean,13
radius_mean,14
symmetry_worst,15
fractal_dimension_mean,16
perimeter_mean,17
smoothness_se,18
concave_points_se,19
compactness_se,20
compactness_mean,21
perimeter_se,22
texture_mean,23
smoothness_mean,24
symmetry_se,25
texture_se,26
symmetry_mean,27
concavity_se,28
compactness_worst,29
fractal_dimension_worst,30
