dataset,variable,score_raw,score_processed,delta_abs,spearman_raw,spearman_processed,delta_spearman_abs,mutual_info_raw,mutual_info_processed,delta_mi_abs,ranking_raw,ranking_processed,delta_ranking
breast_cancer_wisconsin,area_mean,0.5466521209065036,0.5470729038679281,0.0004207829614244485,0.7341224574055575,0.7341224574055575,0.0,0.35918178440744963,0.36002335033029853,0.000841565922848897,9,9,0
breast_cancer_wisconsin,area_se,0.5275655225468141,0.5274713858204281,9.413672638602932e-05,0.7141837178954084,0.7141837178954084,0.0,0.34094732719821996,0.3407590537454477,0.0001882734527722807,10,10,0
breast_cancer_wisconsin,area_worst,0.6264016165350156,0.625607596525137,0.0007940200098786043,0.786901907423319,0.786901907423319,0.0,0.46590132564671216,0.46431328562695495,0.0015880400197572087,2,2,0
breast_cancer_wisconsin,compactness_mean,0.4119304211909571,0.41136390364289294,0.0005665175480641382,0.6092883740075209,0.6092883740075209,0.0,0.21457246837439325,0.21343943327826498,0.0011330350961282765,15,15,0
breast_cancer_wisconsin,compactness_se,0.22755641016537526,0.22702784411155258,0.0005285660538226766,0.38066552707294943,0.38066552707294943,0.0,0.07444729325780108,0.07339016115015573,0.0010571321076453533,23,22,-1
breast_cancer_wisconsin,compactness_worst,0.41598276735320994,0.41601053292634016,2.7765573130222876e-05,0.6068099168638246,0.6068099168638246,0.0,0.2251556178425953,0.22521114898885575,5.553114626044575e-05,14,14,0
breast_cancer_wisconsin,concave_points_mean,0.6088592658397625,0.6083419559714525,0.0005173098683100008,0.777877465455518,0.777877465455518,0.0,0.4398410662240071,0.43880644648738687,0.0010346197366202237,5,5,0
breast_cancer_wisconsin,concave_points_se,0.30901652509323263,0.3070659176065972,0.0019506074866354473,0.4887172830438194,0.4887172830438194,0.0,0.12931576714264592,0.12541455216937503,0.0039012149732708945,16,16,0
breast_cancer_wisconsin,concave_points_worst,0.6097754380809165,0.6089642004659804,0.0008112376149360667,0.7816735854904382,0.7816735854904382,0.0,0.4378772906713948,0.43625481544152267,0.0016224752298721334,4,4,0
breast_cancer_wisconsin,concavity_mean,0.5531917596824669,0.5543773754726522,0.0011856157901852793,0.7333078827585809,0.7333078827585809,0.0,0.373075636606353,0.37544686818672335,0.0023712315803703365,7,7,0
