dataset,qfs_n,beta,dist_ratio,mds_max_iter,mds_runs,min_radius,embedding_error_mean,embedding_error_p95
breast_cancer_wisconsin,20,0.2,0.45,100,100,3.3882,0.23143,0.631035
customer_churn,15,0.3,0.45,100,100,3.3917,0.2168838095238095,0.54504
madelon,20,0.5,0.45,100,100,3.3844,0.2496405263157894,0.6040199999999997
olive_oil_3class,8,0.0,0.45,100,100,5.2962,0.1247285714285714,0.3994349999999999
olive_oil_9class,8,0.4,0.45,100,100,4.77,0.142625,0.3662499999999999
