dataset,method,jaccard,rel,red
breast_cancer_wisconsin,boruta,0.391304347826087,1.3105508237842531,0.1714477962561597
breast_cancer_wisconsin,f_classif,0.5384615384615384,1.0000000000000002,0.44722489517169484
breast_cancer_wisconsin,feature_similarity,0.25,0.5880351527667573,0.19075976554241655
breast_cancer_wisconsin,l1_logistic,0.5384615384615384,0.680798177170504,0.19935739154020368
breast_cancer_wisconsin,linear_svm,0.42857142857142855,0.8022780994091044,0.25589001272443046
breast_cancer_wisconsin,mrmr_approx,0.42857142857142855,0.6010061601645267,0.15100257684680832
breast_cancer_wisconsin,mutual_correlation,0.25,0.7718282786317037,0.29490996189768237
breast_cancer_wisconsin,mutual_info,0.5384615384615384,1.0000000000000002,0.44722489517169484
breast_cancer_wisconsin,random_forest,0.46520146520146516,0.9473599837323441,0.3913901352306905
breast_cancer_wisconsin,rfe,0.3333333333333333,0.6252076618650116,0.16516902891924526
breast_cancer_wisconsin,rrfs,0.5384615384615384,1.0000000000000002,0.44722489517169484
breast_cancer_wisconsin,variance,0.25,0.585267291402248,0.147864921554411
customer_churn,boruta,0.4666666666666667,1.005185736069012,0.022317423156640374
customer_churn,f_classif,0.42857142857142855,1.0,0.032574865473064214
customer_churn,feature_similarity,0.42857142857142855,0.7972658025481912,0.01893224676108916
customer_churn,l1_logistic,0.42857142857142855,0.9641468525374673,0.02039214788117558
customer_churn,linear_svm,0.42857142857142855,0.9060921806291488,0.01847327518969574
customer_churn,mrmr_approx,0.42857142857142855,0.945103269393417,0.004752706960691667
customer_churn,mutual_correlation,0.6666666666666666,0.9649693580511719,0.026329034182285587
customer_churn,mutual_info,0.42857142857142855,1.0,0.032574865473064214
customer_churn,random_forest,0.42857142857142855,1.0,0.032574865473064214
customer_churn,rfe,0.42857142857142855,1.0,0.032574865473064214
customer_churn,rrfs,0.42857142857142855,1.0,0.032574865473064214
customer_churn,variance,0.42857142857142855,0.8171304231040623,0.019196736995793363
madelon,boruta,0.03571428571428571,1.1727225443409282,0.12313523918008568
madelon,f_classif,0.05263157894736842,0.9754327772943728,0.1662746724092198
madelon,feature_similarity,0.0,0.0665266322218843,0.006584342703160262
madelon,l1_logistic,0.0,0.38605249700627375,0.006347725238718175
madelon,linear_svm,0.0,0.38376244317907976,0.04420628711849812
madelon,mrmr_approx,0.25,0.31982735579845295,0.008440417881214845
madelon,mutual_correlation,0.0,0.7109532135110777,0.14134055970195927
madelon,mutual_info,0.05263157894736842,0.9999999999999997,0.17214965368017687
madelon,random_forest,0.05263157894736842,0.9834019918271345,0.1748178218627006
madelon,rfe,0.0,0.4383036650962137,0.08112683327661135
madelon,rrfs,0.05263157894736842,0.9999999999999997,0.17214965368017687
madelon,variance,0.0,0.25140527430097,0.005980820312902771
olive_oil_3class,boruta,0.625,1.2954791878495087,0.2073749366147477
olive_oil_3class,f_classif,0.42857142857142855,1.0,0.33656492663187815
olive_oil_3class,feature_similarity,0.25,0.7283466154570396,0.26174944389832666
olive_oil_3class,l1_logistic,0.6666666666666666,0.9180673442741466,0.22488719834798307
olive_oil_3class,linear_svm,0.42857142857142855,1.0,0.33656492663187815
olive_oil_3class,mrmr_approx,1.0,0.9069591894630243,0.20752723204167092
olive_oil_3class,mutual_correlation,0.42857142857142855,0.9572488183846207,0.28911950831164696
olive_oil_3class,mutual_info,0.42857142857142855,1.0,0.33656492663187815
olive_oil_3class,random_forest,0.42857142857142855,1.0,0.33656492663187815
olive_oil_3class,rfe,0.625,1.2954791878495087,0.2073749366147477
olive_oil_3class,rrfs,0.6666666666666666,0.9708473509618849,0.2639400777158743
olive_oil_3class,variance,0.6666666666666666,0.9461406635734982,0.23438105991334054
olive_oil_9class,boruta,0.625,1.3589409899577425,0.2202613992070705
olive_oil_9class,f_classif,0.6666666666666666,0.9999999999999999,0.35876480300860103
olive_oil_9class,feature_similarity,0.42857142857142855,0.8716964487696609,0.27173666331658
olive_oil_9class,l1_logistic,0.25,0.8437240579075187,0.1564335677634464
olive_oil_9class,linear_svm,0.42857142857142855,0.8219587611278767,0.15589876318334456
olive_oil_9class,mrmr_approx,0.42857142857142855,0.9067546286096597,0.21250194841084777
olive_oil_9class,mutual_correlation,0.6666666666666666,0.9465433103596785,0.2682568928725529
olive_oil_9class,mutual_info,0.6666666666666666,0.9999999999999999,0.35876480300860103
olive_oil_9class,random_forest,0.5873015873015873,0.9537984092862258,0.2700515962625157
olive_oil_9class,rfe,0.625,1.3589409899577423,0.22026139920707047
olive_oil_9class,rrfs,0.42857142857142855,0.9683086071393205,0.2736410030424413
olive_oil_9class,variance,0.42857142857142855,0.8303522935788994,0.19718136208087592
