feature,rank
feat_454,1
feat_26,2
feat_464,3
feat_29,4
feat_471,5
feat_474,6
feat_475,7
feat_466,8
feat_477,9
feat_433,10
feat_442,11
feat_421,12
feat_428,13
feat_400,14
feat_404,15
feat_410,16
feat_43,17
feat_385,18
feat_389,19
feat_390,20
feat_394,21
feat_395,22
feat_396,23
feat_397,24
feat_374,25
feat_378,26
feat_380,27
feat_381,28
feat_382,29
feat_354,30
feat_355,31
feat_360,32
feat_363,33
feat_50,34
feat_55,35
feat_57,36
feat_58,37
feat_61,38
feat_340,39
feat_341,40
feat_343,41
feat_347,42
feat_325,43
feat_316,44
feat_317,45
feat_289,46
feat_295,47
feat_299,48
feat_77,49
feat_78,50
