dataset,baseline_features,baseline_test_macro_f1,mejor_feature_set,mejor_modelo,seleccion_features,seleccion_test_macro_f1,delta_test_macro_f1,delta_ci_low,delta_ci_high,p_valor_pareado_crudo,p_valor_pareado_fdr,p_valor_pareado_holm
breast_cancer_wisconsin,30,0.9373816805009464,boruta_confirmed_22,linear_svm,22,0.9502314814814814,0.012849800980535009,0.0,0.039143481483814,1.0,1.0,1.0
customer_churn,10,0.9998152056674428,l1_logistic_k10,xgboost,10,0.9991377826701864,-0.0006774229972563717,-0.0008791975703463,-0.0005083131992778,0.0004997501249375,0.0012493753123437499,0.0049975012493749995
madelon,500,0.813034188034188,boruta_confirmed_19,xgboost,19,0.906662518334148,0.09362833029995998,0.0532829564444517,0.1401381417344593,0.0004997501249375,0.0012493753123437499,0.0049975012493749995
olive_oil_3class,8,1.0,f_classif_k5,linear_svm,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0
olive_oil_9class,8,0.8387318563789152,l1_logistic_k5,xgboost,5,0.954272887606221,0.11554103122730575,-0.0036863453639992,0.2404678469678468,0.3548225887056472,0.7096451774112944,1.0
