dataset,method,mejor_delta_validacion,jaccard_medio,delta_redundancia
breast_cancer_wisconsin,linear_svm,0.0379880633996971,1.0,0.1224203643192206
breast_cancer_wisconsin,l1_logistic,0.0256843883012107,1.0,0.04344430803159777
breast_cancer_wisconsin,mrmr_approx,0.0256843883012107,1.0,-0.06624226984426267
breast_cancer_wisconsin,f_classif,0.0135916092964377,1.0,0.2912322877338171
breast_cancer_wisconsin,mutual_info,0.0135916092964377,1.0,0.2775501264958742
breast_cancer_wisconsin,feature_similarity,0.0135132261300486,1.0,0.0339474966333958
breast_cancer_wisconsin,variance,0.0135132261300486,1.0,0.08400203597715894
breast_cancer_wisconsin,boruta,0.0124495571313812,,0.09928056315863343
breast_cancer_wisconsin,mutual_correlation,0.0008761874917534,1.0,0.25908250688547657
breast_cancer_wisconsin,random_forest,0.0008761874917534,0.8403785756726934,0.2634099635171611
breast_cancer_wisconsin,rrfs,0.0008761874917534,1.0,0.27345369524057905
breast_cancer_wisconsin,rfe,0.0,1.0,0.07882108964884676
customer_churn,mrmr_approx,0.0049443882272544,0.7617893217893218,-0.016544914911281555
customer_churn,l1_logistic,0.0046522724084533,0.9636363636363636,0.01481882013621324
customer_churn,f_classif,0.00449858843973,1.0,0.025145467058045178
customer_churn,rfe,0.0043602268751147,1.0,0.0514870687104422
customer_churn,random_forest,0.0038223980868536,1.0,0.018518604578802222
customer_churn,mutual_info,0.0037762674409821,0.9466666666666667,0.025145467058045178
customer_churn,rrfs,0.0035918955038529,0.9466666666666667,0.025145467058045178
customer_churn,boruta,0.0025935148283557,,0.0166701204847053
customer_churn,linear_svm,0.0001493466305402,0.9555555555555556,0.07142270515224959
customer_churn,mutual_correlation,-0.0040999446843756,1.0,-0.002397205657673257
customer_churn,feature_similarity,-0.0072873514480731,1.0,-0.025154523769442393
customer_churn,variance,-0.0091664806205793,1.0,-0.029039306896450533
madelon,boruta,0.3034156075339355,,0.2927922424941176
madelon,rfe,0.2833647040014672,1.0,0.1882520273310637
madelon,linear_svm,0.2733819345661451,1.0,0.0739236749467769
madelon,random_forest,0.2400426742532005,0.7782045300842293,0.27795834401693936
madelon,f_classif,0.2334174964438122,1.0,0.23691649130859238
madelon,rrfs,0.2267398663269182,1.0,0.20848684271699947
madelon,mutual_info,0.213371266002845,1.0,0.2311393741790829
madelon,mutual_correlation,0.2066441204267388,1.0,0.2157450512526025
madelon,mrmr_approx,0.1100183342975753,1.0,-0.011575163179744429
madelon,variance,0.1090119553443069,1.0,0.003727204745893713
madelon,l1_logistic,0.0995630457139091,1.0,0.0004109604473339847
madelon,feature_similarity,-0.0033162583090091,1.0,0.008623867659086227
olive_oil_3class,l1_logistic,0.0111189413514994,1.0,-0.04676852905449975
olive_oil_3class,mrmr_approx,0.0111189413514994,1.0,-0.06909036162675739
olive_oil_3class,rrfs,0.0111189413514994,1.0,0.06979113873228233
olive_oil_3class,mutual_correlation,0.0108438335242458,1.0,0.12508347887174517
olive_oil_3class,boruta,0.0,,0.0
olive_oil_3class,f_classif,0.0,1.0,0.13802005028460856
olive_oil_3class,linear_svm,0.0,1.0,0.10208847591998867
olive_oil_3class,mutual_info,0.0,1.0,0.17224759388336883
olive_oil_3class,random_forest,0.0,1.0,0.13802005028460856
olive_oil_3class,variance,0.0,1.0,-0.032736120687995245
olive_oil_3class,feature_similarity,-0.0225396825396826,1.0,0.07089635587449888
olive_oil_3class,rfe,-0.0225396825396826,1.0,0.0
olive_oil_9class,l1_logistic,0.0268718059663599,1.0,-0.10784629656319927
olive_oil_9class,f_classif,0.0057682876310328,1.0,0.138453588096938
olive_oil_9class,boruta,0.0,,0.0
olive_oil_9class,random_forest,0.0,0.9259259259259258,0.07082997043340156
olive_oil_9class,rrfs,0.0,1.0,0.047801446294614434
olive_oil_9class,linear_svm,-0.0055349843199409,1.0,-0.09395422834996124
olive_oil_9class,mutual_correlation,-0.0087081274205907,1.0,0.11402190067734198
olive_oil_9class,mrmr_approx,-0.0089635854341736,1.0,-0.06847667272708341
olive_oil_9class,mutual_info,-0.015088467804104,1.0,0.138453588096938
olive_oil_9class,variance,-0.0268589299226553,1.0,0.005679614044044989
olive_oil_9class,feature_similarity,-0.0554890643125938,1.0,0.06266585642970364
olive_oil_9class,rfe,-0.0554890643125938,1.0,0.0
