dataset,variable,test,estadistico,p_valor,nombre_tamano_efecto,tamano_efecto,p_valor_fdr,abs_tamano_efecto
breast_cancer_wisconsin,radius_mean,mann_whitney_u,70955.0,2.6929427727965647e-68,cliffs_delta,0.8750330320807569,8.976475909321883e-68,0.8750330320807569
breast_cancer_wisconsin,texture_mean,mann_whitney_u,58717.5,3.428626504744227e-28,cliffs_delta,0.5516489614713811,5.413620796964569e-28,0.5516489614713811
breast_cancer_wisconsin,perimeter_mean,mann_whitney_u,71665.0,3.553870225963875e-71,cliffs_delta,0.8937952539506369,1.7769351129819375e-70,0.8937952539506369
breast_cancer_wisconsin,area_mean,mann_whitney_u,71015.5,1.539780362858885e-68,cliffs_delta,0.8766317847893874,6.59905869796665e-68,0.8766317847893874
breast_cancer_wisconsin,smoothness_mean,mann_whitney_u,54647.0,7.793006595586556e-19,cliffs_delta,0.44408329369483646,1.0164791211634639e-18,0.44408329369483646
breast_cancer_wisconsin,compactness_mean,mann_whitney_u,65374.5,8.951992005223344e-48,cliffs_delta,0.7275646107499603,1.9182840011192878e-47,0.7275646107499603
breast_cancer_wisconsin,concavity_mean,mann_whitney_u,70978.5,2.164548790621846e-68,cliffs_delta,0.8756540351989852,8.117057964831922e-68,0.8756540351989852
breast_cancer_wisconsin,concave_points_mean,mann_whitney_u,72992.5,1.0063237037340002e-76,cliffs_delta,0.9288753237143914,6.037942222404002e-76,0.9288753237143914
breast_cancer_wisconsin,symmetry_mean,mann_whitney_u,52870.0,2.2680501067477204e-15,cliffs_delta,0.39712488769092547,2.8350626334346506e-15,0.39712488769092547
breast_cancer_wisconsin,fractal_dimension_mean,mann_whitney_u,36671.5,0.537185602135624,cliffs_delta,-0.030931240420696615,0.5557092435885767,0.030931240420696615
breast_cancer_wisconsin,radius_se,mann_whitney_u,65719.0,6.217139964661982e-49,cliffs_delta,0.7366682522065431,1.434724607229688e-48,0.7366682522065431
breast_cancer_wisconsin,texture_se,mann_whitney_u,38719.5,0.6436927010259661,cliffs_delta,0.0231885206912954,0.6436927010259661,0.0231885206912954
breast_cancer_wisconsin,perimeter_se,mann_whitney_u,66329.0,5.099437378225837e-51,cliffs_delta,0.7527879076158766,1.2748593445564592e-50,0.7527879076158766
breast_cancer_wisconsin,area_se,mann_whitney_u,70114.5,5.767823374413629e-65,cliffs_delta,0.8528222609798637,1.7303470123240886e-64,0.8528222609798637
breast_cancer_wisconsin,smoothness_se,mann_whitney_u,35483.5,0.21363163320046263,cliffs_delta,-0.062324929971988796,0.22889103557192425,0.062324929971988796
breast_cancer_wisconsin,compactness_se,mann_whitney_u,55043.5,1.1680614494180086e-19,cliffs_delta,0.45456106971090326,1.5928110673881935e-19,0.45456106971090326
breast_cancer_wisconsin,concavity_se,mann_whitney_u,59095.5,3.675507795924406e-29,cliffs_delta,0.5616378626922467,6.125846326540678e-29,0.5616378626922467
breast_cancer_wisconsin,concave_points_se,mann_whitney_u,59926.0,2.3708516259551307e-31,cliffs_delta,0.5835843771470852,4.44534679866587e-31,0.5835843771470852
breast_cancer_wisconsin,symmetry_se,mann_whitney_u,33671.0,0.027836640964123,cliffs_delta,-0.11022144706939374,0.03092960107124778,0.11022144706939374
breast_cancer_wisconsin,fractal_dimension_se,mann_whitney_u,46947.0,1.5721653509925577e-06,cliffs_delta,0.2406056762327573,1.814036943452951e-06,0.2406056762327573
breast_cancer_wisconsin,radius_worst,mann_whitney_u,73447.0,1.1356300904893913e-78,cliffs_delta,0.9408857882775752,1.7034451357340869e-77,0.9408857882775752
breast_cancer_wisconsin,texture_worst,mann_whitney_u,59384.0,6.517717977951487e-30,cliffs_delta,0.5692616669309234,1.1501855255208506e-29,0.5692616669309234
breast_cancer_wisconsin,perimeter_worst,mann_whitney_u,73826.0,2.5830037182989858e-80,cliffs_delta,0.9509011151630464,7.749011154896957e-79,0.9509011151630464
breast_cancer_wisconsin,area_worst,mann_whitney_u,73400.5,1.8033090105551777e-78,cliffs_delta,0.939656994873421,1.8033090105551776e-77,0.939656994873421
breast_cancer_wisconsin,smoothness_worst,mann_whitney_u,57070.0,3.637942156482749e-24,cliffs_delta,0.5081126790338777,5.456913234724124e-24,0.5081126790338777
breast_cancer_wisconsin,compactness_worst,mann_whitney_u,65262.5,2.1155252552555298e-47,cliffs_delta,0.7246049363141482,4.2310505105110596e-47,0.7246049363141482
breast_cancer_wisconsin,concavity_worst,mann_whitney_u,69732.5,1.7617231681140704e-63,cliffs_delta,0.8427276571005762,4.80469954940201e-63,0.8427276571005762
breast_cancer_wisconsin,concave_points_worst,mann_whitney_u,73164.0,1.8639972354360316e-77,cliffs_delta,0.9334073251942285,1.3979979265770236e-76,0.9334073251942285
breast_cancer_wisconsin,symmetry_worst,mann_whitney_u,55774.5,3.1512369934706657e-21,cliffs_delta,0.473878230537498,4.5017671335295225e-21,0.473878230537498
breast_cancer_wisconsin,fractal_dimension_worst,mann_whitney_u,51917.0,1.1442398346150665e-13,cliffs_delta,0.37194122932191753,1.3730878015380797e-13,0.37194122932191753
customer_churn,Age,mann_whitney_u,29304915508.0,0.0,cliffs_delta,0.2285100680964367,0.0,0.2285100680964367
customer_churn,Gender,chi2,13560.734707741449,0.0,cramers_v,0.17539471194052156,0.0,0.17539471194052156
customer_churn,Tenure,mann_whitney_u,22418651134.5,1.0542158201780418e-257,cliffs_delta,-0.06017341615073968,1.3177697752225522e-257,0.06017341615073968
customer_churn,Usage Frequency,mann_whitney_u,22585031832.0,4.72130437986291e-202,cliffs_delta,-0.05319846473141687,5.245893755403234e-202,0.05319846473141687
customer_churn,Support Calls,mann_whitney_u,39259899207.0,0.0,cliffs_delta,0.6458392939261024,0.0,0.6458392939261024
customer_churn,Payment Delay,mann_whitney_u,31872281150.5,0.0,cliffs_delta,0.3361382419239676,0.0,0.3361382419239676
customer_churn,Subscription Type,chi2,186.22514681615587,3.6452152042998097e-41,cramers_v,0.020553349461126802,3.6452152042998097e-41,0.020553349461126802
customer_churn,Contract Length,chi2,82862.39112987717,0.0,cramers_v,0.4335529788314116,0.0,0.4335529788314116
customer_churn,Total Spend,mann_whitney_u,12774676064.5,0.0,cliffs_delta,-0.4644646507298569,0.0,0.4644646507298569
customer_churn,Last Interaction,mann_whitney_u,27981396034.5,0.0,cliffs_delta,0.17302596345629295,0.0,0.17302596345629295
madelon,feat_0,mann_whitney_u,496739.5,0.8004656869552726,cliffs_delta,-0.006520999999999999,0.9864300955398513,0.006520999999999999
madelon,feat_1,mann_whitney_u,487965.0,0.35133053619390453,cliffs_delta,-0.024070000000000036,0.8653461482608487,0.024070000000000036
madelon,feat_2,mann_whitney_u,494539.5,0.6724125844389037,cliffs_delta,-0.010920999999999959,0.9625947878907039,0.010920999999999959
madelon,feat_3,mann_whitney_u,499345.0,0.9595536678539335,cliffs_delta,-0.0013100000000000334,0.9968156612122101,0.0013100000000000334
madelon,feat_4,mann_whitney_u,474637.5,0.04951777521253153,cliffs_delta,-0.05072500000000002,0.6262926317816699,0.05072500000000002
madelon,feat_5,mann_whitney_u,517090.0,0.18521466449986512,cliffs_delta,0.0341800000000001,0.8256099575179924,0.0341800000000001
madelon,feat_6,mann_whitney_u,512495.5,0.3332204031922389,cliffs_delta,0.024990999999999985,0.8653461482608487,0.024990999999999985
madelon,feat_7,mann_whitney_u,489754.5,0.4162392406534289,cliffs_delta,-0.020491000000000037,0.883430369880133,0.020491000000000037
madelon,feat_8,mann_whitney_u,492973.0,0.5862639750511168,cliffs_delta,-0.014054000000000011,0.9270173821923133,0.014054000000000011
madelon,feat_9,mann_whitney_u,505550.5,0.6670649013151438,cliffs_delta,0.011101000000000028,0.9625947878907039,0.011101000000000028
madelon,feat_10,mann_whitney_u,531634.0,0.014293362341207481,cliffs_delta,0.0632680000000001,0.35354111601541016,0.0632680000000001
madelon,feat_11,mann_whitney_u,493577.0,0.6189107716234719,cliffs_delta,-0.012846000000000024,0.9528454597973086,0.012846000000000024
madelon,feat_12,mann_whitney_u,484955.0,0.2439784537229568,cliffs_delta,-0.03008999999999995,0.8281243676388673,0.03008999999999995
madelon,feat_13,mann_whitney_u,507313.0,0.5711898192822413,cliffs_delta,0.014626000000000028,0.923057271959573,0.014626000000000028
madelon,feat_14,mann_whitney_u,510981.0,0.39498876133031036,cliffs_delta,0.021962000000000037,0.883430369880133,0.021962000000000037
madelon,feat_15,mann_whitney_u,489802.0,0.429654608107669,cliffs_delta,-0.02039599999999997,0.883430369880133,0.02039599999999997
madelon,feat_16,mann_whitney_u,509596.5,0.45729392502758215,cliffs_delta,0.019193000000000016,0.883430369880133,0.019193000000000016
madelon,feat_17,mann_whitney_u,505128.0,0.691294810682004,cliffs_delta,0.010256000000000043,0.9628061430111478,0.010256000000000043
madelon,feat_18,mann_whitney_u,479451.0,0.1115126600551042,cliffs_delta,-0.04109799999999997,0.6899586025265775,0.04109799999999997
madelon,feat_19,mann_whitney_u,516344.5,0.20541579831466217,cliffs_delta,0.03268899999999997,0.8281243676388673,0.03268899999999997
madelon,feat_20,mann_whitney_u,507915.0,0.5398133085284961,cliffs_delta,0.01583000000000001,0.9118468049467839,0.01583000000000001
madelon,feat_21,mann_whitney_u,489724.0,0.42613861372587625,cliffs_delta,-0.020552000000000015,0.883430369880133,0.020552000000000015
madelon,feat_22,mann_whitney_u,496249.5,0.7712900020526526,cliffs_delta,-0.00750099999999998,0.9819748285517002,0.00750099999999998
madelon,feat_23,mann_whitney_u,508017.5,0.5344958181596899,cliffs_delta,0.01603500000000002,0.9086406509275987,0.01603500000000002
madelon,feat_24,mann_whitney_u,485118.5,0.24914779019318267,cliffs_delta,-0.029762999999999984,0.8281243676388673,0.029762999999999984
madelon,feat_25,mann_whitney_u,486431.0,0.2933436363702533,cliffs_delta,-0.027137999999999995,0.8555835390715378,0.027137999999999995
madelon,feat_26,mann_whitney_u,483197.5,0.19315730079120697,cliffs_delta,-0.033604999999999996,0.8256099575179924,0.033604999999999996
madelon,feat_27,mann_whitney_u,494641.5,0.6780885381392852,cliffs_delta,-0.010716999999999977,0.9625947878907039,0.010716999999999977
madelon,feat_28,mann_whitney_u,497807.5,0.8651759888749724,cliffs_delta,-0.004384999999999972,0.9876438229166352,0.004384999999999972
madelon,feat_29,mann_whitney_u,497692.5,0.8581928130034938,cliffs_delta,-0.004615000000000036,0.9864300955398513,0.004615000000000036
madelon,feat_30,mann_whitney_u,505907.0,0.6471112651050983,cliffs_delta,0.011813999999999991,0.9625947878907039,0.011813999999999991
madelon,feat_31,mann_whitney_u,512824.0,0.32066379184893445,cliffs_delta,0.025647999999999893,0.8555835390715378,0.025647999999999893
madelon,feat_32,mann_whitney_u,517100.5,0.18540790708835064,cliffs_delta,0.034200999999999926,0.8256099575179924,0.034200999999999926
madelon,feat_33,mann_whitney_u,497282.0,0.8333156432901381,cliffs_delta,-0.005435999999999996,0.9864300955398513,0.005435999999999996
madelon,feat_34,mann_whitney_u,504386.5,0.7340932555780234,cliffs_delta,0.00877299999999992,0.9813154257130317,0.00877299999999992
madelon,feat_35,mann_whitney_u,495013.5,0.6994009718293588,cliffs_delta,-0.00997300000000001,0.9633622201506319,0.00997300000000001
madelon,feat_36,mann_whitney_u,507419.0,0.5654939468489794,cliffs_delta,0.014837999999999907,0.923057271959573,0.014837999999999907
madelon,feat_37,mann_whitney_u,509799.5,0.44790496955103176,cliffs_delta,0.019598999999999922,0.883430369880133,0.019598999999999922
madelon,feat_38,mann_whitney_u,512380.5,0.33661373790599924,cliffs_delta,0.024761000000000033,0.8653461482608487,0.024761000000000033
madelon,feat_39,mann_whitney_u,502167.5,0.8641540704553892,cliffs_delta,0.004334999999999978,0.9876438229166352,0.004334999999999978
madelon,feat_40,mann_whitney_u,509968.5,0.4382584282482713,cliffs_delta,0.019937000000000094,0.883430369880133,0.019937000000000094
madelon,feat_41,mann_whitney_u,484519.5,0.23059730706482606,cliffs_delta,-0.030961000000000016,0.8281243676388673,0.030961000000000016
madelon,feat_42,mann_whitney_u,521168.0,0.10113173615583908,cliffs_delta,0.04233599999999993,0.6891507283154651,0.04233599999999993
madelon,feat_43,mann_whitney_u,519840.5,0.12436190901437148,cliffs_delta,0.03968100000000008,0.7297584991770404,0.03968100000000008
madelon,feat_44,mann_whitney_u,482952.5,0.18676448099356968,cliffs_delta,-0.034094999999999986,0.8256099575179924,0.034094999999999986
madelon,feat_45,mann_whitney_u,508986.0,0.4864881593876683,cliffs_delta,0.0179720000000001,0.9013540956519265,0.0179720000000001
madelon,feat_46,mann_whitney_u,479257.0,0.1081926527452658,cliffs_delta,-0.04148600000000002,0.6899586025265775,0.04148600000000002
madelon,feat_47,mann_whitney_u,497455.0,0.8437833804603685,cliffs_delta,-0.005090000000000039,0.9864300955398513,0.005090000000000039
madelon,feat_48,mann_whitney_u,431277.5,1.02623123849151e-07,cliffs_delta,-0.13744500000000004,6.413945240571937e-06,0.13744500000000004
madelon,feat_49,mann_whitney_u,518048.5,0.16218687237042373,cliffs_delta,0.036097000000000046,0.8029053087644739,0.036097000000000046
madelon,feat_50,mann_whitney_u,498755.0,0.9232208364821733,cliffs_delta,-0.0024899999999999922,0.9968156612122101,0.0024899999999999922
madelon,feat_51,mann_whitney_u,494305.0,0.6592115639986202,cliffs_delta,-0.011390000000000011,0.9625947878907039,0.011390000000000011
madelon,feat_52,mann_whitney_u,493062.5,0.5910926065403468,cliffs_delta,-0.01387499999999997,0.9287765535109128,0.01387499999999997
madelon,feat_53,mann_whitney_u,478331.5,0.09273944275179842,cliffs_delta,-0.04333699999999996,0.6891507283154651,0.04333699999999996
