dataset,variable,test,estadistico,p_valor,nombre_tamano_efecto,tamano_efecto,p_valor_fdr,abs_tamano_efecto,solo_significativa_sin_fdr,significativa_efecto_minimo,efecto_casi_perfecto
breast_cancer_wisconsin,perimeter_worst,mann_whitney_u,73826.0,2.5830037182989858e-80,cliffs_delta,0.9509011151630464,7.749011154896957e-79,0.9509011151630464,False,False,True
customer_churn,Subscription Type,chi2,186.22514681615587,3.6452152042998097e-41,cramers_v,0.020553349461126802,3.6452152042998097e-41,0.020553349461126802,False,True,False
madelon,feat_4,mann_whitney_u,474637.5,0.04951777521253153,cliffs_delta,-0.05072500000000002,0.6262926317816699,0.05072500000000002,True,False,False
madelon,feat_10,mann_whitney_u,531634.0,0.014293362341207481,cliffs_delta,0.0632680000000001,0.35354111601541016,0.0632680000000001,True,False,False
madelon,feat_55,mann_whitney_u,530142.0,0.01957279601097264,cliffs_delta,0.060284000000000004,0.40776658356192996,0.060284000000000004,True,False,False
madelon,feat_119,mann_whitney_u,474197.0,0.045680689844169384,cliffs_delta,-0.05160600000000004,0.6262926317816699,0.05160600000000004,True,False,False
madelon,feat_136,mann_whitney_u,468885.0,0.01597036256550181,cliffs_delta,-0.06223000000000001,0.35354111601541016,0.06223000000000001,True,False,False
madelon,feat_137,mann_whitney_u,471062.0,0.02501185467233579,cliffs_delta,-0.05787600000000004,0.4809972052372267,0.05787600000000004,True,False,False
madelon,feat_177,mann_whitney_u,473237.0,0.03802597504444588,cliffs_delta,-0.05352599999999996,0.5592055153594983,0.05352599999999996,True,False,False
madelon,feat_199,mann_whitney_u,526136.5,0.042959909444799514,cliffs_delta,0.052273000000000014,0.6137129920685646,0.052273000000000014,True,False,False
madelon,feat_205,mann_whitney_u,526318.5,0.03632424390124302,cliffs_delta,0.052637000000000045,0.5512836276447768,0.052637000000000045,True,False,False
madelon,feat_243,mann_whitney_u,525599.0,0.04738623953549133,cliffs_delta,0.05119800000000008,0.6262926317816699,0.05119800000000008,True,False,False
madelon,feat_282,mann_whitney_u,467371.0,0.011496856238671001,cliffs_delta,-0.06525800000000004,0.35040935165074266,0.06525800000000004,True,False,False
madelon,feat_286,mann_whitney_u,527021.0,0.03638471942455527,cliffs_delta,0.05404199999999992,0.5512836276447768,0.05404199999999992,True,False,False
madelon,feat_296,mann_whitney_u,531332.5,0.015242571689202499,cliffs_delta,0.06266499999999997,0.35354111601541016,0.06266499999999997,True,False,False
madelon,feat_298,mann_whitney_u,531444.0,0.014883253279676115,cliffs_delta,0.06288800000000005,0.35354111601541016,0.06288800000000005,True,False,False
madelon,feat_323,mann_whitney_u,537889.5,0.0033336358649519358,cliffs_delta,0.07577900000000004,0.11905842374828342,0.07577900000000004,True,False,False
madelon,feat_329,mann_whitney_u,471547.5,0.027566351965879244,cliffs_delta,-0.05690499999999998,0.4872115102051072,0.05690499999999998,True,False,False
madelon,feat_377,mann_whitney_u,531026.5,0.016262891336708867,cliffs_delta,0.062052999999999914,0.35354111601541016,0.062052999999999914,True,False,False
madelon,feat_384,mann_whitney_u,471500.0,0.02728764593208919,cliffs_delta,-0.05700000000000005,0.4872115102051072,0.05700000000000005,True,False,False
madelon,feat_411,mann_whitney_u,533636.5,0.009191036285957485,cliffs_delta,0.06727299999999992,0.30636787619858286,0.06727299999999992,True,False,False
madelon,feat_424,mann_whitney_u,467538.5,0.011913917956125251,cliffs_delta,-0.06492299999999995,0.35040935165074266,0.06492299999999995,True,False,False
madelon,feat_425,mann_whitney_u,528321.5,0.028258267591896216,cliffs_delta,0.056643,0.4872115102051072,0.056643,True,False,False
madelon,feat_430,mann_whitney_u,531176.5,0.015755345026064738,cliffs_delta,0.0623530000000001,0.35354111601541016,0.0623530000000001,True,False,False
madelon,feat_431,mann_whitney_u,472097.5,0.03070588197627677,cliffs_delta,-0.055804999999999993,0.49827566114430977,0.055804999999999993,True,False,False
madelon,feat_456,mann_whitney_u,470645.0,0.02281254272475323,cliffs_delta,-0.05871000000000004,0.45625085449506464,0.05871000000000004,True,False,False
madelon,feat_496,mann_whitney_u,527832.5,0.030893090990947204,cliffs_delta,0.055665000000000076,0.49827566114430977,0.055665000000000076,True,False,False
olive_oil,Area,kruskal_wallis,570.9999999999999,4.000957652599227e-118,epsilon_squared,0.9999999999999998,2.0004788262996136e-117,0.9999999999999998,False,False,True
olive_oil,palmitic,kruskal_wallis,570.9999999999999,4.000957652599227e-118,epsilon_squared,0.9999999999999998,2.0004788262996136e-117,0.9999999999999998,False,False,True
