feature,rank
concavity_mean,1
concave_points_mean,2
concave_points_worst,3
compactness_mean,4
perimeter_worst,5
concavity_worst,6
radius_worst,7
compactness_worst,8
perimeter_se,9
compactness_se,10
area_worst,11
perimeter_mean,12
fractal_dimension_mean,13
concave_points_se,14
radius_se,15
symmetry_mean,16
smoothness_mean,17
radius_mean,18
concavity_se,19
texture_worst,20
