dataset,method,k,features,n_features,selection_fit_scope,validation_aliases
breast_cancer_wisconsin,linear_svm,30,texture_worst|radius_worst|area_worst|concavity_worst|concavity_mean|perimeter_worst|concave_points_mean|radius_se|concave_points_worst|area_se|smoothness_worst|fractal_dimension_se|area_mean|radius_mean|symmetry_worst|fractal_dimension_mean|perimeter_mean|smoothness_se|concave_points_se|compactness_se|compactness_mean|perimeter_se|texture_mean|smoothness_mean|symmetry_se|texture_se|symmetry_mean|concavity_se|compactness_worst|fractal_dimension_worst,30,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mrmr_approx,3,perimeter_worst|fractal_dimension_se|radius_worst,3,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mrmr_approx,5,perimeter_worst|fractal_dimension_se|radius_worst|texture_worst|area_worst,5,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mrmr_approx,10,perimeter_worst|fractal_dimension_se|radius_worst|texture_worst|area_worst|smoothness_worst|concave_points_mean|texture_se|perimeter_mean|symmetry_worst,10,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mrmr_approx,15,perimeter_worst|fractal_dimension_se|radius_worst|texture_worst|area_worst|smoothness_worst|concave_points_mean|texture_se|perimeter_mean|symmetry_worst|area_se|concave_points_worst|radius_mean|symmetry_se|concavity_mean,15,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mrmr_approx,20,perimeter_worst|fractal_dimension_se|radius_worst|texture_worst|area_worst|smoothness_worst|concave_points_mean|texture_se|perimeter_mean|symmetry_worst|area_se|concave_points_worst|radius_mean|symmetry_se|concavity_mean|concavity_worst|smoothness_se|radius_se|area_mean|fractal_dimension_worst,20,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mrmr_approx,30,perimeter_worst|fractal_dimension_se|radius_worst|texture_worst|area_worst|smoothness_worst|concave_points_mean|texture_se|perimeter_mean|symmetry_worst|area_se|concave_points_worst|radius_mean|symmetry_se|concavity_mean|concavity_worst|smoothness_se|radius_se|area_mean|fractal_dimension_worst|texture_mean|perimeter_se|symmetry_mean|smoothness_mean|compactness_worst|fractal_dimension_mean|concavity_se|concave_points_se|compactness_mean|compactness_se,30,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mutual_info,3,perimeter_worst|radius_worst|area_worst,3,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mutual_info,5,perimeter_worst|radius_worst|area_worst|concave_points_mean|concave_points_worst,5,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mutual_info,10,perimeter_worst|radius_worst|area_worst|concave_points_mean|concave_points_worst|perimeter_mean|radius_mean|area_mean|concavity_mean|concavity_worst,10,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mutual_info,15,perimeter_worst|radius_worst|area_worst|concave_points_mean|concave_points_worst|perimeter_mean|radius_mean|area_mean|concavity_mean|concavity_worst|area_se|perimeter_se|radius_se|compactness_worst|compactness_mean,15,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mutual_info,20,perimeter_worst|radius_worst|area_worst|concave_points_mean|concave_points_worst|perimeter_mean|radius_mean|area_mean|concavity_mean|concavity_worst|area_se|perimeter_se|radius_se|compactness_worst|compactness_mean|concavity_se|concave_points_se|texture_worst|smoothness_worst|compactness_se,20,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,mutual_info,30,perimeter_worst|radius_worst|area_worst|concave_points_mean|concave_points_worst|perimeter_mean|radius_mean|area_mean|concavity_mean|concavity_worst|area_se|perimeter_se|radius_se|compactness_worst|compactness_mean|concavity_se|concave_points_se|texture_worst|smoothness_worst|compactness_se|smoothness_mean|texture_mean|symmetry_worst|symmetry_mean|fractal_dimension_worst|fractal_dimension_se|smoothness_se|texture_se|symmetry_se|fractal_dimension_mean,30,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,random_forest,3,perimeter_worst|area_worst|concave_points_worst,3,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,random_forest,5,perimeter_worst|area_worst|concave_points_worst|concave_points_mean|concavity_mean,5,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,random_forest,10,perimeter_worst|area_worst|concave_points_worst|concave_points_mean|concavity_mean|radius_worst|radius_mean|concavity_worst|area_mean|area_se,10,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,random_forest,15,perimeter_worst|area_worst|concave_points_worst|concave_points_mean|concavity_mean|radius_worst|radius_mean|concavity_worst|area_mean|area_se|perimeter_mean|texture_worst|compactness_worst|smoothness_worst|radius_se,15,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,random_forest,20,perimeter_worst|area_worst|concave_points_worst|concave_points_mean|concavity_mean|radius_worst|radius_mean|concavity_worst|area_mean|area_se|perimeter_mean|texture_worst|compactness_worst|smoothness_worst|radius_se|concavity_se|texture_mean|compactness_mean|smoothness_mean|fractal_dimension_worst,20,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,random_forest,30,perimeter_worst|area_worst|concave_points_worst|concave_points_mean|concavity_mean|radius_worst|radius_mean|concavity_worst|area_mean|area_se|perimeter_mean|texture_worst|compactness_worst|smoothness_worst|radius_se|concavity_se|texture_mean|compactness_mean|smoothness_mean|fractal_dimension_worst|perimeter_se|symmetry_worst|fractal_dimension_mean|fractal_dimension_se|texture_se|concave_points_se|smoothness_se|compactness_se|symmetry_mean|symmetry_se,30,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,variance,3,area_mean|area_se|concave_points_worst,3,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,variance,5,area_mean|area_se|concave_points_worst|texture_mean|concave_points_mean,5,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,variance,10,area_mean|area_se|concave_points_worst|texture_mean|concave_points_mean|concavity_mean|symmetry_mean|radius_mean|smoothness_se|perimeter_se,10,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,variance,15,area_mean|area_se|concave_points_worst|texture_mean|concave_points_mean|concavity_mean|symmetry_mean|radius_mean|smoothness_se|perimeter_se|texture_se|radius_se|compactness_se|fractal_dimension_se|concave_points_se,15,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,variance,20,area_mean|area_se|concave_points_worst|texture_mean|concave_points_mean|concavity_mean|symmetry_mean|radius_mean|smoothness_se|perimeter_se|texture_se|radius_se|compactness_se|fractal_dimension_se|concave_points_se|perimeter_mean|symmetry_worst|fractal_dimension_worst|compactness_worst|symmetry_se,20,train_only,X_validation_selected.csv|X_val_selected.csv
breast_cancer_wisconsin,variance,30,area_mean|area_se|concave_points_worst|texture_mean|concave_points_mean|concavity_mean|symmetry_mean|radius_mean|smoothness_se|perimeter_se|texture_se|radius_se|compactness_se|fractal_dimension_se|concave_points_se|perimeter_mean|symmetry_worst|fractal_dimension_worst|compactness_worst|symmetry_se|area_worst|perimeter_worst|smoothness_worst|radius_worst|concavity_worst|compactness_mean|smoothness_mean|fractal_dimension_mean|texture_worst|concavity_se,30,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,f_classif,1,support_calls,1,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,f_classif,4,support_calls|contract_length_Monthly|total_spend|payment_delay,4,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,f_classif,5,support_calls|contract_length_Monthly|total_spend|payment_delay|age,5,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,f_classif,10,support_calls|contract_length_Monthly|total_spend|payment_delay|age|contract_length_Annual|gender_Female|gender_Male|contract_length_Quarterly|last_interaction,10,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,f_classif,15,support_calls|contract_length_Monthly|total_spend|payment_delay|age|contract_length_Annual|gender_Female|gender_Male|contract_length_Quarterly|last_interaction|tenure|usage_frequency|subscription_type_Basic|subscription_type_Premium|subscription_type_Standard,15,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,l1_logistic,1,contract_length_Monthly,1,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,l1_logistic,4,contract_length_Monthly|support_calls|total_spend|payment_delay,4,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,l1_logistic,5,contract_length_Monthly|support_calls|total_spend|payment_delay|gender_Male,5,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,l1_logistic,10,contract_length_Monthly|support_calls|total_spend|payment_delay|gender_Male|last_interaction|age|gender_Female|usage_frequency|tenure,10,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,l1_logistic,15,contract_length_Monthly|support_calls|total_spend|payment_delay|gender_Male|last_interaction|age|gender_Female|usage_frequency|tenure|subscription_type_Standard|subscription_type_Basic|subscription_type_Premium|contract_length_Annual|contract_length_Quarterly,15,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,linear_svm,1,contract_length_Monthly,1,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,linear_svm,4,contract_length_Monthly|support_calls|contract_length_Quarterly|contract_length_Annual,4,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,linear_svm,5,contract_length_Monthly|support_calls|contract_length_Quarterly|contract_length_Annual|total_spend,5,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,linear_svm,10,contract_length_Monthly|support_calls|contract_length_Quarterly|contract_length_Annual|total_spend|gender_Female|payment_delay|subscription_type_Basic|last_interaction|subscription_type_Premium,10,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,linear_svm,15,contract_length_Monthly|support_calls|contract_length_Quarterly|contract_length_Annual|total_spend|gender_Female|payment_delay|subscription_type_Basic|last_interaction|subscription_type_Premium|age|subscription_type_Standard|usage_frequency|tenure|gender_Male,15,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,mrmr_approx,1,total_spend,1,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,mrmr_approx,4,total_spend|age|payment_delay|support_calls,4,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,mrmr_approx,5,total_spend|age|payment_delay|support_calls|contract_length_Monthly,5,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,mrmr_approx,10,total_spend|age|payment_delay|support_calls|contract_length_Monthly|subscription_type_Standard|usage_frequency|tenure|gender_Male|last_interaction,10,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,mrmr_approx,15,total_spend|age|payment_delay|support_calls|contract_length_Monthly|subscription_type_Standard|usage_frequency|tenure|gender_Male|last_interaction|contract_length_Quarterly|subscription_type_Basic|subscription_type_Premium|gender_Female|contract_length_Annual,15,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,mutual_info,1,total_spend,1,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,mutual_info,4,total_spend|support_calls|contract_length_Monthly|age,4,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,mutual_info,5,total_spend|support_calls|contract_length_Monthly|age|payment_delay,5,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,mutual_info,10,total_spend|support_calls|contract_length_Monthly|age|payment_delay|gender_Male|gender_Female|last_interaction|contract_length_Annual|contract_length_Quarterly,10,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,mutual_info,15,total_spend|support_calls|contract_length_Monthly|age|payment_delay|gender_Male|gender_Female|last_interaction|contract_length_Annual|contract_length_Quarterly|subscription_type_Standard|subscription_type_Basic|tenure|usage_frequency|subscription_type_Premium,15,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,random_forest,1,support_calls,1,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,random_forest,4,support_calls|total_spend|age|payment_delay,4,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,random_forest,5,support_calls|total_spend|age|payment_delay|contract_length_Monthly,5,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,random_forest,10,support_calls|total_spend|age|payment_delay|contract_length_Monthly|last_interaction|contract_length_Quarterly|contract_length_Annual|gender_Female|gender_Male,10,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,random_forest,15,support_calls|total_spend|age|payment_delay|contract_length_Monthly|last_interaction|contract_length_Quarterly|contract_length_Annual|gender_Female|gender_Male|tenure|usage_frequency|subscription_type_Basic|subscription_type_Standard|subscription_type_Premium,15,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,variance,1,usage_frequency,1,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,variance,4,usage_frequency|total_spend|last_interaction|age,4,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,variance,5,usage_frequency|total_spend|last_interaction|age|payment_delay,5,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,variance,10,usage_frequency|total_spend|last_interaction|age|payment_delay|tenure|support_calls|gender_Female|gender_Male|contract_length_Annual,10,train_only,X_validation_selected.csv|X_val_selected.csv
customer_churn,variance,15,usage_frequency|total_spend|last_interaction|age|payment_delay|tenure|support_calls|gender_Female|gender_Male|contract_length_Annual|contract_length_Quarterly|subscription_type_Standard|subscription_type_Premium|subscription_type_Basic|contract_length_Monthly,15,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,f_classif,5,feat_475|feat_241|feat_336|feat_64|feat_128,5,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,f_classif,10,feat_475|feat_241|feat_336|feat_64|feat_128|feat_105|feat_48|feat_378|feat_338|feat_442,10,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,f_classif,15,feat_475|feat_241|feat_336|feat_64|feat_128|feat_105|feat_48|feat_378|feat_338|feat_442|feat_472|feat_493|feat_453|feat_424|feat_264,15,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,f_classif,20,feat_475|feat_241|feat_336|feat_64|feat_128|feat_105|feat_48|feat_378|feat_338|feat_442|feat_472|feat_493|feat_453|feat_424|feat_264|feat_205|feat_468|feat_199|feat_497|feat_438,20,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,f_classif,22,feat_475|feat_241|feat_336|feat_64|feat_128|feat_105|feat_48|feat_378|feat_338|feat_442|feat_472|feat_493|feat_453|feat_424|feat_264|feat_205|feat_468|feat_199|feat_497|feat_438|feat_282|feat_294,22,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,f_classif,30,feat_475|feat_241|feat_336|feat_64|feat_128|feat_105|feat_48|feat_378|feat_338|feat_442|feat_472|feat_493|feat_453|feat_424|feat_264|feat_205|feat_468|feat_199|feat_497|feat_438|feat_282|feat_294|feat_481|feat_42|feat_458|feat_296|feat_10|feat_44|feat_196|feat_323,30,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,f_classif,50,feat_475|feat_241|feat_336|feat_64|feat_128|feat_105|feat_48|feat_378|feat_338|feat_442|feat_472|feat_493|feat_453|feat_424|feat_264|feat_205|feat_468|feat_199|feat_497|feat_438|feat_282|feat_294|feat_481|feat_42|feat_458|feat_296|feat_10|feat_44|feat_196|feat_323|feat_430|feat_309|feat_120|feat_137|feat_26|feat_347|feat_119|feat_139|feat_410|feat_251|feat_384|feat_85|feat_411|feat_146|feat_454|feat_55|feat_253|feat_175|feat_153|feat_43,50,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,l1_logistic,5,feat_475|feat_48|feat_296|feat_323|feat_264,5,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,l1_logistic,10,feat_475|feat_48|feat_296|feat_323|feat_264|feat_10|feat_481|feat_424|feat_44|feat_468,10,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,l1_logistic,15,feat_475|feat_48|feat_296|feat_323|feat_264|feat_10|feat_481|feat_424|feat_44|feat_468|feat_168|feat_448|feat_414|feat_309|feat_137,15,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,l1_logistic,20,feat_475|feat_48|feat_296|feat_323|feat_264|feat_10|feat_481|feat_424|feat_44|feat_468|feat_168|feat_448|feat_414|feat_309|feat_137|feat_42|feat_26|feat_438|feat_343|feat_377,20,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,l1_logistic,22,feat_475|feat_48|feat_296|feat_323|feat_264|feat_10|feat_481|feat_424|feat_44|feat_468|feat_168|feat_448|feat_414|feat_309|feat_137|feat_42|feat_26|feat_438|feat_343|feat_377|feat_60|feat_282,22,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,l1_logistic,30,feat_475|feat_48|feat_296|feat_323|feat_264|feat_10|feat_481|feat_424|feat_44|feat_468|feat_168|feat_448|feat_414|feat_309|feat_137|feat_42|feat_26|feat_438|feat_343|feat_377|feat_60|feat_282|feat_441|feat_220|feat_140|feat_425|feat_442|feat_162|feat_53|feat_410,30,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,l1_logistic,50,feat_475|feat_48|feat_296|feat_323|feat_264|feat_10|feat_481|feat_424|feat_44|feat_468|feat_168|feat_448|feat_414|feat_309|feat_137|feat_42|feat_26|feat_438|feat_343|feat_377|feat_60|feat_282|feat_441|feat_220|feat_140|feat_425|feat_442|feat_162|feat_53|feat_410|feat_454|feat_497|feat_333|feat_403|feat_38|feat_165|feat_34|feat_65|feat_330|feat_308|feat_163|feat_348|feat_139|feat_245|feat_310|feat_358|feat_61|feat_50|feat_253|feat_301,50,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,linear_svm,5,feat_442|feat_48|feat_378|feat_453|feat_153,5,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,linear_svm,10,feat_442|feat_48|feat_378|feat_453|feat_153|feat_28|feat_336|feat_264|feat_220|feat_296,10,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,linear_svm,15,feat_442|feat_48|feat_378|feat_453|feat_153|feat_28|feat_336|feat_264|feat_220|feat_296|feat_414|feat_448|feat_10|feat_451|feat_137,15,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,linear_svm,20,feat_442|feat_48|feat_378|feat_453|feat_153|feat_28|feat_336|feat_264|feat_220|feat_296|feat_414|feat_448|feat_10|feat_451|feat_137|feat_60|feat_105|feat_481|feat_377|feat_42,20,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,linear_svm,22,feat_442|feat_48|feat_378|feat_453|feat_153|feat_28|feat_336|feat_264|feat_220|feat_296|feat_414|feat_448|feat_10|feat_451|feat_137|feat_60|feat_105|feat_481|feat_377|feat_42|feat_44|feat_343,22,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,linear_svm,30,feat_442|feat_48|feat_378|feat_453|feat_153|feat_28|feat_336|feat_264|feat_220|feat_296|feat_414|feat_448|feat_10|feat_451|feat_137|feat_60|feat_105|feat_481|feat_377|feat_42|feat_44|feat_343|feat_323|feat_309|feat_168|feat_433|feat_162|feat_468|feat_425|feat_26,30,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,linear_svm,50,feat_442|feat_48|feat_378|feat_453|feat_153|feat_28|feat_336|feat_264|feat_220|feat_296|feat_414|feat_448|feat_10|feat_451|feat_137|feat_60|feat_105|feat_481|feat_377|feat_42|feat_44|feat_343|feat_323|feat_309|feat_168|feat_433|feat_162|feat_468|feat_425|feat_26|feat_165|feat_34|feat_50|feat_128|feat_441|feat_358|feat_424|feat_245|feat_480|feat_282|feat_310|feat_65|feat_475|feat_163|feat_497|feat_38|feat_139|feat_308|feat_241|feat_421,50,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mrmr_approx,5,feat_241|feat_381|feat_426|feat_86|feat_176,5,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mrmr_approx,10,feat_241|feat_381|feat_426|feat_86|feat_176|feat_123|feat_192|feat_309|feat_294|feat_191,10,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mrmr_approx,15,feat_241|feat_381|feat_426|feat_86|feat_176|feat_123|feat_192|feat_309|feat_294|feat_191|feat_2|feat_355|feat_337|feat_478|feat_477,15,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mrmr_approx,20,feat_241|feat_381|feat_426|feat_86|feat_176|feat_123|feat_192|feat_309|feat_294|feat_191|feat_2|feat_355|feat_337|feat_478|feat_477|feat_434|feat_127|feat_110|feat_429|feat_438,20,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mrmr_approx,22,feat_241|feat_381|feat_426|feat_86|feat_176|feat_123|feat_192|feat_309|feat_294|feat_191|feat_2|feat_355|feat_337|feat_478|feat_477|feat_434|feat_127|feat_110|feat_429|feat_438|feat_239|feat_427,22,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mrmr_approx,30,feat_241|feat_381|feat_426|feat_86|feat_176|feat_123|feat_192|feat_309|feat_294|feat_191|feat_2|feat_355|feat_337|feat_478|feat_477|feat_434|feat_127|feat_110|feat_429|feat_438|feat_239|feat_427|feat_349|feat_280|feat_25|feat_479|feat_270|feat_243|feat_121|feat_29,30,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mrmr_approx,50,feat_241|feat_381|feat_426|feat_86|feat_176|feat_123|feat_192|feat_309|feat_294|feat_191|feat_2|feat_355|feat_337|feat_478|feat_477|feat_434|feat_127|feat_110|feat_429|feat_438|feat_239|feat_427|feat_349|feat_280|feat_25|feat_479|feat_270|feat_243|feat_121|feat_29|feat_248|feat_341|feat_128|feat_356|feat_51|feat_488|feat_114|feat_301|feat_185|feat_222|feat_38|feat_155|feat_264|feat_220|feat_153|feat_379|feat_158|feat_323|feat_36|feat_275,50,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mutual_info,5,feat_241|feat_381|feat_337|feat_294|feat_192,5,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mutual_info,10,feat_241|feat_381|feat_337|feat_294|feat_192|feat_309|feat_475|feat_191|feat_349|feat_128,10,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mutual_info,15,feat_241|feat_381|feat_337|feat_294|feat_192|feat_309|feat_475|feat_191|feat_349|feat_128|feat_86|feat_478|feat_110|feat_477|feat_239,15,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mutual_info,20,feat_241|feat_381|feat_337|feat_294|feat_192|feat_309|feat_475|feat_191|feat_349|feat_128|feat_86|feat_478|feat_110|feat_477|feat_239|feat_434|feat_338|feat_341|feat_438|feat_127,20,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mutual_info,22,feat_241|feat_381|feat_337|feat_294|feat_192|feat_309|feat_475|feat_191|feat_349|feat_128|feat_86|feat_478|feat_110|feat_477|feat_239|feat_434|feat_338|feat_341|feat_438|feat_127|feat_29|feat_25,22,train_only,X_validation_selected.csv|X_val_selected.csv
