dataset,method,k,features,n_features,selection_fit_scope,validation_aliases
madelon,mutual_info,30,feat_241|feat_381|feat_337|feat_294|feat_192|feat_309|feat_475|feat_191|feat_349|feat_128|feat_86|feat_478|feat_110|feat_477|feat_239|feat_434|feat_338|feat_341|feat_438|feat_127|feat_29|feat_25|feat_426|feat_264|feat_36|feat_222|feat_2|feat_355|feat_488|feat_176,30,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,mutual_info,50,feat_241|feat_381|feat_337|feat_294|feat_192|feat_309|feat_475|feat_191|feat_349|feat_128|feat_86|feat_478|feat_110|feat_477|feat_239|feat_434|feat_338|feat_341|feat_438|feat_127|feat_29|feat_25|feat_426|feat_264|feat_36|feat_222|feat_2|feat_355|feat_488|feat_176|feat_280|feat_38|feat_158|feat_270|feat_51|feat_123|feat_153|feat_114|feat_185|feat_429|feat_243|feat_455|feat_248|feat_6|feat_323|feat_379|feat_148|feat_352|feat_121|feat_479,50,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,random_forest,5,feat_475|feat_338|feat_241|feat_105|feat_336,5,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,random_forest,10,feat_475|feat_338|feat_241|feat_105|feat_336|feat_48|feat_128|feat_442|feat_64|feat_472,10,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,random_forest,15,feat_475|feat_338|feat_241|feat_105|feat_336|feat_48|feat_128|feat_442|feat_64|feat_472|feat_318|feat_153|feat_493|feat_378|feat_453,15,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,random_forest,20,feat_475|feat_338|feat_241|feat_105|feat_336|feat_48|feat_128|feat_442|feat_64|feat_472|feat_318|feat_153|feat_493|feat_378|feat_453|feat_281|feat_433|feat_451|feat_28|feat_282,20,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,random_forest,22,feat_475|feat_338|feat_241|feat_105|feat_336|feat_48|feat_128|feat_442|feat_64|feat_472|feat_318|feat_153|feat_493|feat_378|feat_453|feat_281|feat_433|feat_451|feat_28|feat_282|feat_334|feat_244,22,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,random_forest,30,feat_475|feat_338|feat_241|feat_105|feat_336|feat_48|feat_128|feat_442|feat_64|feat_472|feat_318|feat_153|feat_493|feat_378|feat_453|feat_281|feat_433|feat_451|feat_28|feat_282|feat_334|feat_244|feat_204|feat_418|feat_424|feat_455|feat_32|feat_188|feat_264|feat_347,30,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,random_forest,50,feat_475|feat_338|feat_241|feat_105|feat_336|feat_48|feat_128|feat_442|feat_64|feat_472|feat_318|feat_153|feat_493|feat_378|feat_453|feat_281|feat_433|feat_451|feat_28|feat_282|feat_334|feat_244|feat_204|feat_418|feat_424|feat_455|feat_32|feat_188|feat_264|feat_347|feat_458|feat_137|feat_98|feat_431|feat_223|feat_441|feat_314|feat_319|feat_361|feat_457|feat_410|feat_463|feat_468|feat_4|feat_35|feat_481|feat_201|feat_33|feat_10|feat_438,50,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,variance,5,feat_454|feat_26|feat_464|feat_29|feat_471,5,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,variance,10,feat_454|feat_26|feat_464|feat_29|feat_471|feat_474|feat_475|feat_466|feat_477|feat_433,10,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,variance,15,feat_454|feat_26|feat_464|feat_29|feat_471|feat_474|feat_475|feat_466|feat_477|feat_433|feat_442|feat_421|feat_428|feat_400|feat_404,15,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,variance,20,feat_454|feat_26|feat_464|feat_29|feat_471|feat_474|feat_475|feat_466|feat_477|feat_433|feat_442|feat_421|feat_428|feat_400|feat_404|feat_410|feat_43|feat_385|feat_389|feat_390,20,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,variance,22,feat_454|feat_26|feat_464|feat_29|feat_471|feat_474|feat_475|feat_466|feat_477|feat_433|feat_442|feat_421|feat_428|feat_400|feat_404|feat_410|feat_43|feat_385|feat_389|feat_390|feat_394|feat_395,22,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,variance,30,feat_454|feat_26|feat_464|feat_29|feat_471|feat_474|feat_475|feat_466|feat_477|feat_433|feat_442|feat_421|feat_428|feat_400|feat_404|feat_410|feat_43|feat_385|feat_389|feat_390|feat_394|feat_395|feat_396|feat_397|feat_374|feat_378|feat_380|feat_381|feat_382|feat_354,30,train_only,X_validation_selected.csv|X_val_selected.csv
madelon,variance,50,feat_454|feat_26|feat_464|feat_29|feat_471|feat_474|feat_475|feat_466|feat_477|feat_433|feat_442|feat_421|feat_428|feat_400|feat_404|feat_410|feat_43|feat_385|feat_389|feat_390|feat_394|feat_395|feat_396|feat_397|feat_374|feat_378|feat_380|feat_381|feat_382|feat_354|feat_355|feat_360|feat_363|feat_50|feat_55|feat_57|feat_58|feat_61|feat_340|feat_341|feat_343|feat_347|feat_325|feat_316|feat_317|feat_289|feat_295|feat_299|feat_77|feat_78,50,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,f_classif,3,other|linoleic|linolenic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,f_classif,5,other|linoleic|linolenic|palmitoleic|stearic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,f_classif,8,other|linoleic|linolenic|palmitoleic|stearic|arachidic|eicosenoic|oleic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,l1_logistic,3,other|linolenic|eicosenoic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,l1_logistic,5,other|linolenic|eicosenoic|palmitoleic|stearic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,l1_logistic,8,other|linolenic|eicosenoic|palmitoleic|stearic|oleic|linoleic|arachidic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,linear_svm,3,other|linolenic|palmitoleic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,linear_svm,5,other|linolenic|palmitoleic|stearic|linoleic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,linear_svm,8,other|linolenic|palmitoleic|stearic|linoleic|eicosenoic|arachidic|oleic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,mrmr_approx,3,other|linolenic|oleic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,mrmr_approx,5,other|linolenic|oleic|arachidic|stearic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,mrmr_approx,8,other|linolenic|oleic|arachidic|stearic|eicosenoic|palmitoleic|linoleic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,mutual_info,3,other|stearic|linoleic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,mutual_info,5,other|stearic|linoleic|palmitoleic|arachidic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,mutual_info,8,other|stearic|linoleic|palmitoleic|arachidic|linolenic|eicosenoic|oleic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,random_forest,3,other|linoleic|linolenic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,random_forest,5,other|linoleic|linolenic|palmitoleic|stearic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,random_forest,8,other|linoleic|linolenic|palmitoleic|stearic|eicosenoic|arachidic|oleic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,variance,3,eicosenoic|other|stearic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,variance,5,eicosenoic|other|stearic|linoleic|arachidic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_3class,variance,8,eicosenoic|other|stearic|linoleic|arachidic|linolenic|oleic|palmitoleic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,f_classif,3,other|linolenic|linoleic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,f_classif,5,other|linolenic|linoleic|stearic|palmitoleic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,f_classif,8,other|linolenic|linoleic|stearic|palmitoleic|eicosenoic|arachidic|oleic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,l1_logistic,3,linolenic|other|oleic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,l1_logistic,5,linolenic|other|oleic|eicosenoic|stearic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,l1_logistic,8,linolenic|other|oleic|eicosenoic|stearic|palmitoleic|linoleic|arachidic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,linear_svm,3,linolenic|other|eicosenoic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,linear_svm,5,linolenic|other|eicosenoic|oleic|palmitoleic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,linear_svm,8,linolenic|other|eicosenoic|oleic|palmitoleic|stearic|arachidic|linoleic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,mrmr_approx,3,linoleic|arachidic|linolenic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,mrmr_approx,5,linoleic|arachidic|linolenic|stearic|eicosenoic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,mrmr_approx,8,linoleic|arachidic|linolenic|stearic|eicosenoic|other|oleic|palmitoleic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,mutual_info,3,linoleic|linolenic|stearic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,mutual_info,5,linoleic|linolenic|stearic|palmitoleic|other,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,mutual_info,8,linoleic|linolenic|stearic|palmitoleic|other|arachidic|eicosenoic|oleic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,random_forest,3,linolenic|linoleic|other,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,random_forest,5,linolenic|linoleic|other|eicosenoic|stearic,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,random_forest,8,linolenic|linoleic|other|eicosenoic|stearic|palmitoleic|arachidic|oleic,8,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,variance,3,stearic|oleic|linoleic,3,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,variance,5,stearic|oleic|linoleic|arachidic|other,5,train_only,X_validation_selected.csv|X_val_selected.csv
olive_oil_9class,variance,8,stearic|oleic|linoleic|arachidic|other|eicosenoic|palmitoleic|linolenic,8,train_only,X_validation_selected.csv|X_val_selected.csv
