feature,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,other
palmitoleic,0.0,0.7898419843482423,0.21758917809043332,0.9276542032691717,0.4908424598971455,0.20878544821811484,0.1770517290932021,0.5038421282495691
stearic,0.7898419843482423,0.0,0.2305995206202256,0.8298271194547837,0.481431912658713,0.32659576056072526,0.2045198062494813,0.492334499994902
oleic,0.21758917809043332,0.2305995206202256,0.0,0.23714197345874877,0.331216230717136,0.20426461715048427,0.10156232480093719,0.15590345687510343
linoleic,0.9276542032691717,0.8298271194547837,0.23714197345874877,0.0,0.9622242410657371,0.3324027124597213,0.27308362221594784,0.30679536354762815
linolenic,0.4908424598971455,0.481431912658713,0.331216230717136,0.9622242410657371,0.0,0.2923130881657894,0.27689426556580443,0.2540689709193784
arachidic,0.20878544821811484,0.32659576056072526,0.20426461715048427,0.3324027124597213,0.2923130881657894,0.0,0.38992559852592845,0.3385800975159343
eicosenoic,0.1770517290932021,0.2045198062494813,0.10156232480093719,0.27308362221594784,0.27689426556580443,0.38992559852592845,0.0,0.22565510068350392
other,0.5038421282495691,0.492334499994902,0.15590345687510343,0.30679536354762815,0.2540689709193784,0.3385800975159343,0.22565510068350392,0.0
