dataset,method,k,full_mean_abs_corr,selected_mean_abs_corr,full_max_abs_corr,selected_max_abs_corr,full_high_corr_pairs,selected_high_corr_pairs,n_selected_features
breast_cancer_wisconsin,f_classif,3,0.42017091628576547,0.8644517914934237,0.9995905249835275,0.9936039476455795,31,1,3
breast_cancer_wisconsin,f_classif,5,0.42017091628576547,0.8659476403681878,0.9995905249835275,0.9936039476455795,31,4,5
breast_cancer_wisconsin,f_classif,10,0.42017091628576547,0.8325238392615414,0.9995905249835275,0.9995905249835275,31,20,10
breast_cancer_wisconsin,f_classif,15,0.42017091628576547,0.7252662173827307,0.9995905249835275,0.9995905249835275,31,28,15
breast_cancer_wisconsin,f_classif,20,0.42017091628576547,0.5600588193258463,0.9995905249835275,0.9995905249835275,31,29,20
breast_cancer_wisconsin,f_classif,30,0.42017091628576547,0.42017091628576536,0.9995905249835275,0.9995905249835275,31,31,30
breast_cancer_wisconsin,l1_logistic,3,0.42017091628576547,0.4761196446200852,0.9995905249835275,0.7882991531853717,31,0,3
breast_cancer_wisconsin,l1_logistic,5,0.42017091628576547,0.501680608486208,0.9995905249835275,0.9445405377232405,31,1,5
breast_cancer_wisconsin,l1_logistic,10,0.42017091628576547,0.4686786736980285,0.9995905249835275,0.9977666117370139,31,5,10
breast_cancer_wisconsin,l1_logistic,15,0.42017091628576547,0.45841043744492255,0.9995905249835275,0.9995905249835275,31,10,15
breast_cancer_wisconsin,l1_logistic,20,0.42017091628576547,0.4566310653691695,0.9995905249835275,0.9995905249835275,31,17,20
breast_cancer_wisconsin,l1_logistic,30,0.42017091628576547,0.42017091628576547,0.9995905249835275,0.9995905249835275,31,31,30
breast_cancer_wisconsin,linear_svm,3,0.42017091628576547,0.5647536275508275,0.9995905249835275,0.9991106223178811,31,1,3
breast_cancer_wisconsin,linear_svm,5,0.42017091628576547,0.600267936722823,0.9995905249835275,0.9991106223178811,31,2,5
breast_cancer_wisconsin,linear_svm,10,0.42017091628576547,0.6669074508550583,0.9995905249835275,0.9991106223178811,31,9,10
breast_cancer_wisconsin,linear_svm,15,0.42017091628576547,0.5286558816694481,0.9995905249835275,0.9995905249835275,31,16,15
breast_cancer_wisconsin,linear_svm,20,0.42017091628576547,0.4747918705459938,0.9995905249835275,0.9995905249835275,31,21,20
breast_cancer_wisconsin,linear_svm,30,0.42017091628576547,0.42017091628576547,0.9995905249835275,0.9995905249835275,31,31,30
breast_cancer_wisconsin,mrmr_approx,3,0.42017091628576547,0.3504617931776084,0.9995905249835275,0.9936039476455795,31,1,3
breast_cancer_wisconsin,mrmr_approx,5,0.42017091628576547,0.41603790679720254,0.9995905249835275,0.9991106223178811,31,3,5
breast_cancer_wisconsin,mrmr_approx,10,0.42017091628576547,0.3756245365972839,0.9995905249835275,0.9991106223178811,31,6,10
breast_cancer_wisconsin,mrmr_approx,15,0.42017091628576547,0.4344066004358587,0.9995905249835275,0.9991106223178811,31,13,15
breast_cancer_wisconsin,mrmr_approx,20,0.42017091628576547,0.4239710454012175,0.9995905249835275,0.9995905249835275,31,21,20
breast_cancer_wisconsin,mrmr_approx,30,0.42017091628576547,0.42017091628576536,0.9995905249835275,0.9995905249835275,31,31,30
breast_cancer_wisconsin,mutual_info,3,0.42017091628576547,0.9950627314463493,0.9995905249835275,0.9991106223178811,31,3,3
breast_cancer_wisconsin,mutual_info,5,0.42017091628576547,0.8694401085501828,0.9995905249835275,0.9991106223178811,31,4,5
breast_cancer_wisconsin,mutual_info,10,0.42017091628576547,0.8325238392615415,0.9995905249835275,0.9995905249835275,31,20,10
breast_cancer_wisconsin,mutual_info,15,0.42017091628576547,0.7252662173827308,0.9995905249835275,0.9995905249835275,31,28,15
breast_cancer_wisconsin,mutual_info,20,0.42017091628576547,0.6031205553336975,0.9995905249835275,0.9995905249835275,31,30,20
breast_cancer_wisconsin,mutual_info,30,0.42017091628576547,0.42017091628576547,0.9995905249835275,0.9995905249835275,31,31,30
breast_cancer_wisconsin,random_forest,3,0.42017091628576547,0.8620297783953251,0.9995905249835275,0.9924736243755873,31,1,3
breast_cancer_wisconsin,random_forest,5,0.42017091628576547,0.8366317875450882,0.9995905249835275,0.9924736243755873,31,4,5
breast_cancer_wisconsin,random_forest,10,0.42017091628576547,0.799681609520115,0.9995905249835275,0.9995905249835275,31,15,10
breast_cancer_wisconsin,random_forest,15,0.42017091628576547,0.6395467853456749,0.9995905249835275,0.9995905249835275,31,23,15
breast_cancer_wisconsin,random_forest,20,0.42017091628576547,0.5434244017255907,0.9995905249835275,0.9995905249835275,31,28,20
breast_cancer_wisconsin,random_forest,30,0.42017091628576547,0.42017091628576547,0.9995905249835275,0.9995905249835275,31,31,30
