dataset,method,feature,real_score,null_p95,empirical_p_value,above_null_p95,n_permutations
breast_cancer_wisconsin,f_classif,radius_mean,474.97555998217797,3.083182982567315,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,texture_mean,86.56193572923496,7.389966567461694,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,perimeter_mean,505.4546811466068,3.3197998916825973,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,area_mean,409.50674457268394,2.624741908510398,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,smoothness_mean,59.61307557056046,4.182681799901084,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,compactness_mean,210.9442375090931,2.1698038508364226,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,concavity_mean,409.53156120951985,1.9308868580119347,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,concave_points_mean,604.5547064555041,2.5941339935766305,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,symmetry_mean,42.294356992565874,3.8189244019508846,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,radius_se,181.77431856763042,1.9602865051057219,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,perimeter_se,166.62596943159875,2.1143555218042183,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,area_se,155.45844508261712,2.2595733118649837,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,compactness_se,40.15012594669429,2.740283681792052,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,concavity_se,37.74128837806724,2.1992327830603475,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,concave_points_se,82.96470079468762,2.85330367887881,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,fractal_dimension_se,3.613112385690195,2.300606460226583,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,radius_worst,635.4209016321784,3.3051359294452247,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,texture_worst,108.18145802586882,5.412094394011067,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,perimeter_worst,654.7093579089052,3.296147145310259,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,area_worst,481.04049556648806,3.7748534263115823,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,smoothness_worst,85.72471797473187,1.8133323891408906,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,compactness_worst,208.31894214114877,2.8548959367211237,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,concavity_worst,318.6583428276884,3.1797143772654377,0.047619047619047616,True,20
breast_cancer_wisconsin,f_classif,concave_points_worst,689.7956569938996,4.345619474573528,0.047619047619047616,True,20
