method,mean_elapsed_seconds,mean_jaccard,mean_selected_corr
f_classif,0.006513454889257749,1.0,0.38929266849572325
l1_logistic,0.18877862400064865,0.9924242424242424,0.20232745096034743
linear_svm,0.01071250873307387,0.9907407407407407,0.2756487836213974
mrmr_approx,0.38668953521798055,0.6295951150855995,0.19328972304312786
mutual_info,0.22668060020854075,0.6917788724178391,0.34562497151739907
random_forest,0.5627915070702633,0.8861450392668142,0.38447407925704286
variance,0.006736886128783226,1.0,0.22024180094039794
