feature,rank
radius_worst,1
texture_worst,2
concave_points_mean,3
concave_points_worst,4
smoothness_worst,5
concavity_worst,6
perimeter_mean,7
radius_mean,8
symmetry_mean,9
fractal_dimension_mean,10
radius_se,11
texture_mean,12
area_mean,13
smoothness_mean,14
compactness_mean,15
concavity_mean,16
compactness_se,17
smoothness_se,18
area_se,19
perimeter_se,20
texture_se,21
fractal_dimension_se,22
concavity_se,23
concave_points_se,24
area_worst,25
perimeter_worst,26
symmetry_se,27
compactness_worst,28
symmetry_worst,29
fractal_dimension_worst,30
