experiment_id,dataset,feature_set,model_name,feature,mean_abs_shap,rank,n_validation_explained,n_validation_available,raw_values_path,feature_values_path,shap_value_shape,output_labels
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,smoothness_se,0.35912370695385404,11,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,concave_points_mean,0.3284298508009499,12,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,symmetry_worst,0.2841276286893794,13,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,texture_se,0.2545562679303755,14,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,perimeter_worst,0.2445536128755361,15,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,perimeter_se,0.23211736286815102,16,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,concave_points_se,0.18162217876251302,17,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,smoothness_mean,0.16478613682502166,18,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,texture_mean,0.13068859363261465,19,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,symmetry_mean,0.11518094575039291,20,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,smoothness_worst,0.0865625348926806,21,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,symmetry_se,0.07724072022906447,22,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,radius_mean,0.06524483698198996,23,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,fractal_dimension_worst,0.06351240515836568,24,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,area_mean,0.05586954651968852,25,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,concavity_se,0.054511873849131316,26,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,compactness_se,0.04757997102755137,27,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,compactness_worst,0.025143374267462437,28,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,fractal_dimension_mean,0.013186879182122344,29,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,perimeter_mean,0.0033151324986156147,30,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__all_features__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__all_features__linear_svm.csv,85x30,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,radius_worst,0.8051896122585682,1,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,texture_worst,0.6916067257975538,2,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,area_worst,0.643217082194264,3,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,compactness_mean,0.5010705930559551,4,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,radius_se,0.4885509926738712,5,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,concavity_worst,0.45360198610092345,6,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,smoothness_worst,0.42254229654897957,7,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,perimeter_se,0.4210484608050403,8,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,concave_points_mean,0.4095527392665074,9,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,concave_points_worst,0.39898111882578446,10,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,linear_svm,area_se,0.3232952609926729,11,85,85,results/tables/06_modeling/modeling_shap_values_full_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,results/tables/06_modeling/modeling_shap_feature_values_breast_cancer_wisconsin__boruta_confirmed_22__linear_svm.csv,85x22,
