dataset,feature,mean_abs_shap
madelon,feat_295,0.029268625526084613
madelon,feat_53,0.029127669533452718
madelon,feat_216,0.029002010192026504
madelon,feat_330,0.028468631987664667
madelon,feat_347,0.027634927741715613
madelon,feat_497,0.027409660557849574
madelon,feat_175,0.027375426217832153
madelon,feat_268,0.027252109792886763
madelon,feat_168,0.026938569445286956
madelon,feat_4,0.02672592737357092
madelon,feat_142,0.02623350282517107
madelon,feat_11,0.026153672733576987
madelon,feat_73,0.026147406104658155
madelon,feat_294,0.025876140432996908
madelon,feat_24,0.02570247685432357
madelon,feat_59,0.025661030451561467
madelon,feat_489,0.025569750745350516
madelon,feat_278,0.025544441236039484
madelon,feat_499,0.025529674328644367
madelon,feat_19,0.025438752413839884
madelon,feat_341,0.025300171271451587
madelon,feat_349,0.02517727756387806
madelon,feat_36,0.025067943737923638
madelon,feat_65,0.02495716161852956
madelon,feat_139,0.024912176170621636
madelon,feat_104,0.024673753413723885
madelon,feat_486,0.024543047718913295
madelon,feat_243,0.023991793575176668
madelon,feat_361,0.02377201509904915
madelon,feat_5,0.023422617936373468
madelon,feat_114,0.02340429813211861
madelon,feat_467,0.023292097951079865
madelon,feat_406,0.023125509072021423
madelon,feat_234,0.023074030325154316
madelon,feat_297,0.023006733359865993
madelon,feat_123,0.022963960377825433
madelon,feat_395,0.022945062206256753
madelon,feat_329,0.022598725669353708
madelon,feat_277,0.022576382305826207
madelon,feat_244,0.022504969241778576
madelon,feat_479,0.02242915428656077
madelon,feat_187,0.022179999066574956
madelon,feat_151,0.021951984866262264
madelon,feat_106,0.021874193705608686
madelon,feat_480,0.021813408247799555
madelon,feat_333,0.021768055503446765
madelon,feat_226,0.021522951058001505
madelon,feat_434,0.021434181740290156
madelon,feat_171,0.02140154617436638
madelon,feat_41,0.021352548377365263
madelon,feat_152,0.021143361478291156
madelon,feat_220,0.021126029781504383
madelon,feat_368,0.0210355777726276
madelon,feat_42,0.020975092796067473
madelon,feat_51,0.020970052962410654
madelon,feat_445,0.020392142381782954
madelon,feat_335,0.020324184034867604
