row_position,support_calls,subscription_type_Standard,total_spend,payment_delay,age,contract_length_Monthly,tenure,usage_frequency,gender_Female,last_interaction
0,5.0659281754895344,-0.027542515306267886,4.2612698137480765,4.323469821438193,-0.14305078936973586,-0.3964488408248872,0.18854511338402516,0.01905762903566938,-0.26214346565364394,-0.1351586839655647
1,-2.1861005737414234,0.028554448530776426,-0.7170802914077649,7.509071191850817,-0.9847150591405807,-0.7453045589430257,-0.4373795820501982,0.5040857037642854,2.4707307303283597,3.263833976073656
2,-2.457890127573337,0.032745581448543816,-1.7023904682160356,-1.05826530064689,-2.6558230529434512,-1.660050154644996,-0.7611907374800648,0.7572096576783224,-0.5893990890734131,-0.5260507322254125
3,-4.211646712339716,0.047265175650827586,-1.8648767273419071,-1.1203688559343572,-1.744527671604883,-1.694020104832016,-0.21948188548907638,-0.12086451724462677,1.176000637630932,-2.352463932185201
4,-4.236601849426515,-0.06697700859629549,-1.8749600111565088,-1.1205110987316584,-1.764278093665489,-1.693336228369735,-0.1692392130556982,-0.09810054273169953,1.1154700002010214,-2.4093930690456182
5,-1.6594905708028818,-0.05243238747061696,-1.8399166577518917,-1.1189914493332618,-3.648979632167029,-1.6953469528071583,0.15854439889080824,-0.17112715442344778,-0.6314667992922477,-0.5633314543112646
6,-2.7891623669324326,0.017528834387194367,-1.7090477848122827,-1.0843926327954978,-2.824375542586204,-1.663519267574884,1.236542247311736,-1.1529466382937972,-2.907209349757468,1.5189473927463404
7,9.665613463681657,0.020337137058377266,-0.8446845179551746,-0.4623948146821931,1.9880918703519272,-0.8435904549341648,0.41957865952164863,-0.7176537411336903,-0.46621586426219436,-0.18443365469109266
8,-6.446555954908254,0.02672953244531527,-1.8790939003997482,-1.111017703198595,1.071619939506054,-1.7363999712560325,-0.24521627470268867,-0.16021420026314445,-0.7291973981045885,-0.527752250431804
9,6.254776134974673,0.024881513682194056,-0.6282501775352284,-0.3518094974197447,4.4325952922157015,-0.6351252260804177,-0.30781293341657145,0.80762216056959,0.5768056438787608,-1.0542230300069786
10,-2.4403210684494114,0.02598799910512753,-1.6575189541536384,-1.034665389949223,-2.5802640510350465,-1.5752023272542284,-0.18188827774487437,-0.05044013562786859,0.8840612011507619,-2.125790382185369
11,-2.558562457195076,0.04422218989348039,-1.993562682585325,-1.1864389241038589,-3.665988033839385,-1.852936807628721,-1.0228822989878246,1.155161399304052,-0.7620057800464565,-0.6331980424904031
12,-3.0360439553440663,0.042807079805061224,-1.9433429735002574,-1.1753585270390614,-3.162000533947139,-1.8304211314208805,-1.0176204599661287,1.008044169441564,-0.7416278267430607,-0.5918982491776115
13,6.880492937603849,0.019112222681287677,-0.6461939509183867,-0.435706245219335,-1.953181096940534,6.106830356852152,0.019775757762836292,-0.06269376355106943,-0.41598100135452115,-0.22081876295385883
14,-5.273006838199217,-0.06538840066525153,-1.8022240651922765,-1.0914852941175923,-0.5501928896317259,-1.6436740293493495,-0.14271132478606888,-0.11988666799617931,1.0995061825966694,-2.351445905957371
15,-2.146181594579248,0.02023097819997929,5.813444079898181,6.0770338470279235,-0.05338775182783138,-0.604120213133283,-0.5035307384916814,-0.06028297956101596,-0.4301787337753922,-0.29815771576191763
16,-2.9801110279161365,0.057614385382039474,-1.6798759278166109,-1.0758708307845517,-2.487140485434793,-1.6484609305718914,-0.2684689628862543,1.1504568759247196,-2.73283699562744,1.4862613366323059
17,-5.503708384486672,-0.061939732948085295,-1.8903260317258537,-1.1251472525362625,-0.6528232239466161,-1.7743064432637765,-0.9106867721374147,0.9268292960268445,-0.7389123155857669,-0.6225521174923051
18,-2.832111007886706,0.034325904017314314,-1.7644807604642119,-1.1075757737271488,-2.8693570565572006,-1.6883101041847839,0.07696120971784694,-0.2345243666623719,-2.9078952428369664,1.517342120743124
19,6.482961124347639,0.013047011616872623,6.368903088630759,-0.32442435013595966,-1.6340225488337454,-0.5899089849134908,-0.20089992526918649,0.4600882676572655,-0.3319262538797921,0.05048472574795596
20,6.6366071858711075,0.0198821350838989,-0.41579885966144503,-0.25482063777686564,1.6718914734711872,5.180597005779855,-0.22393239028988318,0.4802681320667034,-1.1543463809957029,0.7544153802428627
21,3.5566764014051295,-0.029109460263280196,-1.1923082270496526,-0.7342684707907029,3.0164528369071193,-1.1629805681901053,0.5603866304055555,-0.821052371392725,0.7676106184633682,-1.4948032222234178
22,-2.1670170380923084,-0.05454975891509093,-1.2261283919354902,-0.7333225390710868,8.9175401461008,-1.174137436230667,-0.7126396006182767,0.8373442772775889,-0.5208992847858462,-0.45785575796791816
23,-6.030461674577091,0.03179529400658794,-1.7625293095764938,-1.04773211862077,0.9282529898954089,-1.5812811681162566,-0.17427744037122467,-0.11544663364940788,1.011685613093432,-2.1827986055717337
24,7.335667656539008,-0.01528764009126462,-0.7280074482568307,-0.4974934336391743,-1.896531091085053,-0.7517093635257334,0.5811942204236402,-0.6925868919718777,2.3591923305590172,3.104982244550483
