row_position,age,tenure,usage_frequency,support_calls,payment_delay,total_spend,last_interaction,gender_Female,gender_Male,subscription_type_Basic,subscription_type_Premium,subscription_type_Standard,contract_length_Annual,contract_length_Monthly,contract_length_Quarterly
0,-0.07439466198789887,0.04512571949686389,-0.012194546941900626,5.196704890183173,4.4551702747447415,4.118976625317009,-0.1809380838961806,-0.25352536652149865,-0.062011925746919584,-0.013370341962436215,-0.022474180471617727,-0.018973022955469786,-0.014835482714697718,-0.534536446579732,0.011464494056999683
1,-0.7835523678734898,-0.4466251160093816,0.5498108976904769,-1.9824931118945823,7.8235134868556635,-0.7012256316869753,3.450261319690617,2.0914154630189294,0.525838194709504,0.1083226737860241,0.004355019557988271,0.006206837706267834,0.004079666428733617,-0.8418770626024343,-0.013920478895306588
2,-2.415285377783002,-0.7063311694993172,0.7865881350368727,-2.462503647141275,-1.069715140480548,-1.7568599864823045,-0.5274741490575252,-0.5556285222037696,-0.07790041165542788,-0.015358470074133948,-0.007753459041705355,0.0026861922536045315,0.02022092491388321,-1.6979680293379351,-0.017367082028649748
3,-1.7085929459158797,-0.16085507552488706,-0.16841169576509857,-4.275183680660557,-1.1377591572422534,-1.8981693717680173,-2.417273061402375,0.9348921951872762,0.14403898707823828,-0.014561619153246283,-0.015293460860848427,0.003213644353672862,-0.023804135993123053,-1.8231427108170464,0.017884611953049898
4,-1.7094609283877071,-0.15882241799961774,-0.12307799276546576,-4.253012125559617,-1.144866426801309,-1.8822252132347785,-2.403466117341304,0.9227891702379566,0.14278883829014377,-0.014237357813981362,0.005528015594463796,-0.0075672017876058815,0.01374251999426633,-1.8240063063101843,-0.0234676009695977
5,-3.705651761897607,0.1200784910749644,-0.21343407954031135,-1.7821307001123206,-1.1189564088964834,-1.8443966975877992,-0.5716989860800095,-0.5770757439051521,-0.06850254113785922,-0.020296296325977892,0.004372636649059132,-0.0013540756423026322,-0.03244188740383833,-1.7604185566352681,0.014349647846538574
6,-2.837883673876058,1.3119577456940896,-1.0463791027117986,-2.6701333867840003,-1.0812656832486391,-1.7023120093415491,1.5485496188269463,-2.4414118135441094,-0.5238624954060651,-0.02996238564432133,-0.00550920584006235,0.003984372718259692,0.014305978687480092,-1.7688578236242756,-0.016354184991214424
7,1.564928764102515,0.6738342801539693,-0.687528936972958,9.43215628883685,-0.5817001415858977,-0.9133380681701238,-0.22497308544290717,-0.4017270346678561,-0.05854782416718081,-0.008426405338104815,-0.008024921163450927,0.003888973584398627,0.021053671650588513,-0.987925678694155,-0.005946826748549938
8,0.9280289579730016,-0.3077629759599222,-0.13224072925397196,-6.063260917027365,-1.1375383651652373,-1.9825312965689228,-0.5182869376806775,-0.6024280481948517,-0.10003445416223258,0.14100535862438845,0.0077864048467017714,0.007096116165630519,0.021323181134648622,-1.7594586164224892,-0.020517534748651086
9,4.533309644426918,-0.33343040202278645,0.7626654340996174,6.376064038033946,-0.42531265256227924,-0.6264802015590248,-1.1013495962589515,0.49504940017475746,0.10059913103468716,-0.009500470081693493,-0.004018182813888415,0.0048300322494469585,-0.003289524628780782,-0.6889183066040278,0.0057794347731396556
10,-2.4513801763602534,-0.1300536070909584,-0.07949555547034834,-2.3830232747585978,-1.0391848908551038,-1.7304746730660554,-2.0646098626567984,0.8022782305639703,0.11439549664733932,-0.004475678644957952,-0.010442429848480969,0.006870801369659603,0.015054827542044222,-1.6567383073130622,-0.019633364225737752
11,-3.664235885986127,-0.9034491631574929,1.0984862393082586,-2.551339955548174,-1.1803764432668686,-1.953910201296676,-0.6531672568828799,-0.6470088075939566,-0.11920612943009473,-0.028306291931075974,0.02577881179167889,0.00372419998049736,0.019550711824558677,-1.9103304225043394,-0.01925030863378197
12,-3.1268970318883658,-0.914808442776557,0.9040870858228299,-3.020696343895397,-1.1825243306159974,-1.9277103455457836,-0.6445852309069596,-0.6530456018913537,-0.11897778921411373,-0.023834620056441054,-0.009108377784723416,0.0023096890933811663,-0.030061539732851087,-1.893922990146093,0.016094936726149173
13,-1.651291173825739,-0.02303812812489923,-0.06378743786248378,7.061966019344982,-0.4445266990084201,-0.719179313405184,-0.21890268416667824,-0.41292275335115847,-0.05715028904960491,0.002334328524302691,-0.0025333238334860654,0.006239777477458119,0.019251417866908014,6.489770553284325,0.007100764780770988
14,-0.6495606564451009,-0.15195784636423923,-0.1485892012633849,-5.162741556526162,-1.1333295827824623,-1.8281736423750408,-2.360516177834943,0.8927087454672438,0.14728325587930158,-0.01098051098815631,0.004919380531646311,-0.005308182826265693,-0.021208003936335443,-1.7762089558225125,0.017783613633364437
15,0.09729525297647341,-0.46737687313812787,0.04351316585903987,-2.3019069275862423,6.207805095009971,6.05343750303291,-0.28938669472350737,-0.25079284473846203,-0.1144004495756235,0.11450655852240743,0.027515770320314915,0.007742287367582321,-0.005181039846502244,-0.7059801915474236,0.007838996809441596
16,-2.4275101204635576,-0.19118353938567453,1.2757602160319221,-2.9910865533177273,-1.0825251067848876,-1.665333906521555,1.5365295406788937,-2.355039619443123,-0.4931190815730952,0.3051115801735432,0.007363382538314909,0.005389462001621723,-0.01672303396742791,-1.687634253813885,0.01653638591757044
17,-0.6866265857755206,-0.8672274092480075,1.0238259595411363,-5.23612802856951,-1.1387586594326422,-1.914191207898548,-0.6024980540556135,-0.5977542885439471,-0.11676576057914645,-0.021742459199158473,0.00495232934365049,-0.0020153983030468227,-0.029521488482132555,-1.817855339962989,0.015482836000155658
18,-2.860355606956873,-0.044832623915281145,-0.28139280651230364,-2.7614486035774464,-1.1082957985950634,-1.7590990215796045,1.6005559067684225,-2.479817809427623,-0.530334590608254,0.16818067252752372,0.005856266577029601,0.0064180579502135515,0.014496186161413788,-1.7715694506047293,-0.017558826582971962
