row_position,palmitoleic__class_0,stearic__class_0,oleic__class_0,linoleic__class_0,linolenic__class_0,arachidic__class_0,eicosenoic__class_0,other__class_0,palmitoleic__class_1,stearic__class_1,oleic__class_1,linoleic__class_1,linolenic__class_1,arachidic__class_1,eicosenoic__class_1,other__class_1,palmitoleic__class_2,stearic__class_2,oleic__class_2,linoleic__class_2,linolenic__class_2,arachidic__class_2,eicosenoic__class_2,other__class_2,palmitoleic__class_3,stearic__class_3,oleic__class_3,linoleic__class_3,linolenic__class_3,arachidic__class_3,eicosenoic__class_3,other__class_3,palmitoleic__class_4,stearic__class_4,oleic__class_4,linoleic__class_4,linolenic__class_4,arachidic__class_4,eicosenoic__class_4,other__class_4,palmitoleic__class_5,stearic__class_5,oleic__class_5,linoleic__class_5,linolenic__class_5,arachidic__class_5,eicosenoic__class_5,other__class_5,palmitoleic__class_6,stearic__class_6,oleic__class_6,linoleic__class_6,linolenic__class_6,arachidic__class_6,eicosenoic__class_6,other__class_6,palmitoleic__class_7,stearic__class_7,oleic__class_7,linoleic__class_7,linolenic__class_7,arachidic__class_7,eicosenoic__class_7,other__class_7,palmitoleic__class_8,stearic__class_8,oleic__class_8,linoleic__class_8,linolenic__class_8,arachidic__class_8,eicosenoic__class_8,other__class_8
0,0.45740074163908806,0.057947640529569834,0.00031545136017670255,-1.877011598517929,0.16057395729063742,-0.7792093839882698,1.1221359587482753,-0.10373505959000677,0.47743046963580715,0.17839158258257937,-0.12768183068902395,-0.7528727572044042,-0.16902907975884476,-0.4562055277306133,-0.1254249565903449,0.47035446265552994,-1.9014060240905701,0.05557122254494696,-0.23027953472705517,0.7978169967777127,0.054047888798680055,1.3319276094503574,-2.7455064619877194,1.5987028979311688,1.4832066176243197,-0.07791124200124355,0.20727904259472393,0.34493357151272935,-0.06273964907207788,-0.5514558164637023,-0.9685800317739703,0.9039165171334194,-0.05830915432851577,0.15198395603144577,0.1258206478013194,1.2267198341666146,-0.06358396554855242,-0.11390572723317823,-0.9961257700189434,-0.670958194511444,0.4142282885224661,0.08517946358564724,-0.07656157303290946,-1.0326928605837766,0.07411844822880423,1.51589237243766,-1.3334747533431894,-0.6891258887297371,-0.5707334485299085,-0.16963172877446375,0.17667720870760045,0.39085015740391715,-0.11462147464985957,-0.7599838412101808,1.4204683837010483,-0.3802086133363257,0.31370623448394,-0.03311153190158483,0.4136743230220211,0.1709603480466731,0.07955609956206976,-1.3976080169390812,1.2302734773531794,0.5822567225723125,1.0715630248262877,-0.1838555870695445,-0.14740920909548594,0.2719421614756267,-0.0227577170068143,0.9913402629533349,1.965748883372068,-0.0880650618516884
1,0.2304862717400457,0.12098691474583823,5.455173897792602e-05,0.31023140570034746,-1.3103325217075679,0.1338247117462278,-0.7319821660950695,-0.09552817196421509,0.24057934092350958,0.37245773936697524,-0.022080316585319937,0.12443437960928919,1.3793289027649238,0.07835066478935541,0.08181613884808753,0.4331428754201241,-0.9581269675826161,0.11602527217543315,-0.039822776682122335,-0.13186273787408095,-0.44104727576938146,-0.22875087500771116,1.7909253788779096,1.4722232382847156,0.7473944233044917,-0.16266824166786828,0.03584524796750866,-0.057010423829095595,0.5119746935729103,0.0947093518064544,0.6318158723700482,0.8324041344488133,-0.029382242672660444,0.3173221508773699,0.02175845789045374,-0.20275155404180673,0.5188645738275002,0.019562650843863553,0.6497842736052556,-0.6178760588697157,0.20873148025224864,0.17784331518509605,-0.013239971276367805,0.1706828865887574,-0.6048291691342879,-0.26034576064965503,0.8698408876176089,-0.6346064355074478,-0.2875951277158059,-0.3541683374830853,0.03055320150582565,-0.06459949093834066,0.9353462320664112,0.1305228358020833,-0.9265878312382828,-0.35012881797743917,0.15807796932883886,-0.06913244526732562,0.07153766488350743,-0.02825622874968795,-0.6492020643652867,0.2400311056878971,-0.8025215107150026,0.5361921084447562,0.5399653827443442,-0.3838658491535677,-0.02549181811425697,-0.04494644523794546,0.1857099196968281,-0.17025696514732533,-1.2822805600621805,-0.08109788923683964
2,-0.565815432813075,-0.606389326211105,0.00010198803374133995,3.5737368405657124,-2.146730323490861,0.15991140019578484,-0.31776428714070515,0.15067845680953518,-0.590592675576127,-1.8667671466068234,-0.041280591876902493,1.4334323297757523,2.259767755572557,0.0936236988613545,0.03551759625013985,-0.6832047416420515,2.352083795533259,-0.5815214543301769,-0.07445127814483742,-1.5190039292592967,-0.7225719771904361,-0.27334168884937027,0.7774672016632476,-2.322166551108882,-1.8347613326882375,0.8152971391008788,0.06701502880882054,-0.6567363851327709,0.8387730452730014,0.1131712137570303,0.2742806171889376,-1.3129673460893656,0.07212978989742443,-1.590426251190986,0.040678856056065686,-2.3356136253369115,0.8500608021001574,0.023376033074636173,0.28208096598708343,0.9745880103821292,-0.5124100969182367,-0.891354972500852,-0.024752989777557202,1.9661959061795222,-0.9908974221446736,-0.3110954215950069,0.3776107976157283,1.0009771611612321,0.7060106462522019,1.7751002245394711,0.05712120281523927,-0.7441592837029793,1.5323866927482122,0.1559658837167194,-0.4022454853475811,0.5522650427891567,-0.38806196116915503,0.34649347818352977,0.13374432999960084,-0.3255000100014012,-1.0635939615004502,0.28682079490581075,-0.348386460189132,-0.8457463153819351,-1.325548564932105,1.9239448672005464,-0.04765861647448043,-0.5177643663661325,0.3042503405675267,-0.20344545737877276,-0.5566569609970824,0.12791728920862336
3,0.29982124865364196,0.150081964384116,7.115444214512136e-06,-0.21054073816114702,-1.1084433971391865,-0.048782107400671716,-0.10079301721222864,-0.08732128433842341,0.312950519141156,0.46202673480592726,-0.002880041293737402,-0.08444827201301877,1.1668091796734261,-0.028560573714638323,0.011265978698833931,0.3959312881847182,-1.2463511237378242,0.14392714123565759,-0.005194275219407295,0.08948957990015564,-0.3730930374953338,0.08338482188390249,0.2466081564555677,1.3457435786382623,0.972225927124439,-0.2017868568986182,0.004675467126196812,0.038690527442767506,0.43309233281771575,-0.03452368184757694,0.08700024542740356,0.7608917517642073,-0.038221021234171794,0.3936320869601042,0.0028380597248418107,0.1375987764840079,0.438920656658238,-0.007131024771544802,0.08947447152042187,-0.5647939232279876,0.2715221716681484,0.220611246692534,-0.0017269527751784205,-0.11583514845232214,-0.5116402804766085,0.09490186596780796,0.11977598856712425,-0.5800869822851584,-0.3741096146312261,-0.43933907996398763,0.0039852001964120675,0.04384090152410169,0.7912330174190799,-0.04757849960036953,-0.12758997083340406,-0.3200490226185526,0.20563105034845308,-0.08575748220535985,0.009330999767414073,0.019176289535159922,-0.5491764340223162,-0.08749671883749854,-0.1105061956279618,0.49012749431719976,0.7023979956027158,-0.47617827780773236,-0.00332501975403354,0.03050322302719079,0.15709671465907327,0.062062480472806686,-0.17656840910584054,-0.07413071662199086
4,0.26830535005655276,0.32465226221378235,0.000600069128757186,-2.7945625186548475,2.684188014395401,0.1338247117462278,0.13590291361883666,-0.08732128433842341,0.28005452904222583,0.999440707439639,-0.2428834824385192,-1.1209040957770418,-2.825525618402565,0.07835066478935541,-0.015190331357136162,0.3959312881847182,-1.115340143667275,0.311338355597004,-0.4380505435033455,1.187818699522796,0.9034758672242758,-0.22875087500771116,-0.33251080195281046,1.3457435786382623,0.870029789024463,-0.43649854828311746,0.3942977276425951,0.5135495332774405,-1.0487691585120082,0.0947093518064544,-0.11730561467608816,0.7608917517642073,-0.034203394615303,0.8514917034565097,0.23934303679499103,1.8263847022359065,-1.0628829301643288,0.019562650843863553,-0.12064170426139076,-0.5647939232279876,0.24298094829728487,0.47721883573716156,-0.1456396840400458,-1.5375103508942498,1.2389795564497956,-0.26034576064965503,-0.16149834857680745,-0.5800869822851584,-0.3347848478514897,-0.9503635348494012,0.336085216564082,0.5819118012663155,-1.9160366577415004,0.1305228358020833,0.17203422681842545,-0.3200490226185526,0.18401601352135571,-0.18550770383356516,0.7869143137185813,0.2545319278818812,1.3298764788492008,0.2400311056878971,0.14899954752967842,0.49012749431719976,0.6285649897580015,-1.0300528497327197,-0.2804099992568266,0.40487729127610483,-0.3804227799787498,-0.17025696514732533,0.23807364750278695,-0.07413071662199086
5,-0.2002310090868401,-0.169963581636939,-0.00025378417698426433,1.0393124071064397,-0.3585695058851997,0.21208477709489898,-0.02189437360187354,0.1424715691837435,-0.20899919042853662,-0.5232322150225441,0.1027214728099666,0.4168700918805203,0.37745020819072067,0.12416976700535272,0.0024472086801772337,-0.6459931544066457,0.832356426714889,-0.16299341842681084,0.18526248282552552,-0.44175598275801214,-0.12069158104887108,-0.36252331653268843,0.053568503652774976,-2.1956868914624286,-0.6492861307285147,0.22851791063963048,-0.16675832750101843,-0.1909917556097039,0.140100707155565,0.1500949376581821,0.018898292059572983,-1.2414549634047598,0.02552532111854641,-0.4457772099499724,-0.10122413018602384,-0.6792420167779472,0.14198610717240734,0.031002797536181414,0.019435746259817668,0.9215058747404011,-0.18133190581621966,-0.24983599988928312,0.06159464898136322,0.5718081356462688,-0.1655101226052283,-0.41259474348571057,0.02601787618581368,0.946457707938943,0.24984335160725896,0.4975390873259372,-0.14213880700536272,-0.21641604038575996,0.2559553630147066,0.2068519795459916,-0.02771523828279423,0.5221852474302703,-0.1373275339748254,0.09711792411301652,-0.33280565837109954,-0.09466175434847496,-0.17765266417699724,0.38040017334163806,-0.02400428124208172,-0.7996817012543789,-0.4690856971334185,0.5392584373880779,0.1185923712271954,-0.15057598080913617,0.050819095947412435,-0.2698224418416676,-0.03835439023629804,0.12095011659377461
6,0.14644387548114118,0.06764599040899574,-0.0005146837981830408,1.3716146322371074,-2.5505085726276233,-0.20530223809801415,-0.3572136089458827,-0.10373505959000677,0.15285670065969573,0.20824791439556337,0.2083229869136706,0.5501571172014216,2.6848072017555524,-0.12019877814663295,0.039926981259468204,0.47035446265552994,-0.6087643540611517,0.06487184556502176,0.3757192408704583,-0.5829998426710965,-0.8584804537385314,0.35092970493385706,0.873987028064644,1.5987028979311688,0.4748713883712222,-0.09095078041149351,-0.33819212212823363,-0.2520580768974642,0.9965377667833905,-0.1452948535510324,0.3083315938728529,0.9039165171334194,-0.01866857168901033,0.17742060139235719,-0.2052863200968895,-0.8964179419706098,1.0099486364386818,-0.030011318156180536,0.3171003286173856,-0.670958194511444,0.13262155126327924,0.09943544075479321,0.12491625073790487,0.7546339294343861,-1.1772751994600323,0.3993998316399191,0.4244898538063836,-0.6891258887297371,-0.18272908296984205,-0.19802197626809784,-0.2882628142071375,-0.28561133843322317,1.820613122042875,-0.20023678708818624,-0.452182851622886,-0.3802086133363257,0.10043787112324584,-0.038653210880929566,-0.6749423165096131,-0.1249282183969017,-1.2636452221863912,-0.36823485414498053,-0.3916374173820721,0.5822567225723125,0.34307736715843934,-0.21462639662093272,0.24050976220842432,-0.19872005484498503,0.3614767506430364,0.2611934338614913,-0.6257639704318536,-0.0880650618516884
7,-0.14770451142502475,0.11128856486641235,-0.0020800815253756997,0.15151989519017767,1.3358570753137131,0.39469159624179856,-0.1994163217251725,0.07681646817741009,-0.15417254026365293,0.3426014075539913,0.8419320715358947,0.06077490482915723,-1.4061974677557774,0.2310810055093465,0.0222894412221548,-0.3483004565233988,0.6140047932639737,0.10672464915535838,1.5184597891400553,-0.06440298388574217,0.44963863303688606,-0.6746590134243022,0.48790772245905856,-1.1838496142908024,-0.4789592338952212,-0.14962870325761835,-1.3667948898915252,-0.02784441963195636,-0.5219476777541027,0.2793279713122135,0.17212768713719176,-0.669355901927912,0.01882927675376508,0.29188550551645853,-0.8296594595620835,-0.09902573902441558,-0.528971769069614,0.057696473151589774,0.17702287809617712,0.49684878960657564,-0.13376320019811377,0.1635873380159501,0.5048458612771548,0.08336310448099982,0.6166109072002944,-0.7678423701031737,0.23697362904376243,0.5103020821606282,0.18430207364103152,-0.32577808998945124,-1.1650068574177863,-0.03155099037835823,-0.9535662599182524,0.3849533149484445,-0.25243338652166636,0.2815468845591779,-0.10130247259632974,-0.0635907662879809,-2.727762265340695,-0.013800604129543833,0.6618481619157909,0.7079279978670338,-0.21863358861031187,-0.43116478823392773,-0.3460306873922279,-0.3530950396021796,0.972014108095798,-0.02195226062380869,-0.18932744633374424,-0.5021418874617997,-0.34933593269276864,0.06521273567498445
8,1.2978247042281337,0.20342288872095848,-0.00015891158745743653,-5.299228543893464,2.323671720523292,-0.7792093839882698,0.7276427406964999,-0.08732128433842341,1.354656872273946,0.6262365597773392,0.06432092222680151,-2.1255301821509995,-2.4460261128820338,-0.4562055277306133,-0.08133110649706139,0.3959312881847182,-5.395032159305214,0.19508056784606898,0.1160054799000954,2.2524179421512676,0.7821290131634764,1.3319276094503574,-1.7803081979737556,1.3457435786382623,4.208436966957015,-0.27350431815499293,-0.1044187658183947,0.973825537013544,-0.9079078000205898,-0.5514558164637023,-0.6280702649348174,0.7608917517642073,-0.16544586416501694,0.533533636445117,-0.06338333385479997,3.4633077204791105,-0.9201259352192179,-0.11390572723317823,-0.6459321437159223,-0.5647939232279876,1.1753275784121604,0.29901912112283685,0.038568611978984445,-2.9155256622822994,1.0725708267039398,1.51589237243766,-0.8646841914366367,-0.5800869822851584,-1.6193938959895473,-0.5954854411789751,-0.08900280438653552,1.1034584507285383,-1.658691631585552,-0.7599838412101808,0.9210947209479992,-0.3200490226185526,0.8901072165398702,-0.11623671659175591,-0.20839232813891276,0.48265975391853055,1.1512592818081822,-1.3976080169390812,0.797763905423779,0.49012749431719976,3.0404431806853367,-0.6454177303403673,0.0742587745067485,0.7677542672179507,-0.329327770982759,0.9913402629533349,1.2746787890243556,-0.07413071662199086
9,0.10022055753874369,0.15493113932382893,-0.0006332745350915755,-0.8850646578293684,1.2421228389069647,0.5251250384895838,-0.8503301315106022,-0.09552817196421509,0.10460924851459807,0.47695490071241925,0.25632367514262694,-0.35500103982857956,-1.3075275963204394,0.3074461758693419,0.09504429387607258,0.4331428754201241,-0.4166149166243463,0.14857745274569498,0.4622904945272459,0.37619353435059544,0.4180884509810782,-0.8976130826325974,2.0804848580820985,1.4722232382847156,0.32498371915792396,-0.20830662610374315,-0.41611657423151327,0.16264604528060925,-0.4853237245463338,0.371637281065093,0.7339688024217941,0.8324041344488133,-0.012776052648002766,0.4063504096405599,-0.25258731551091934,0.5784334903079201,-0.49185495038388516,0.07676338430545286,0.7548423614961619,-0.6178760588697157,0.09076109031934604,0.227739235277107,0.15369879699087832,-0.48694422241029184,0.573344637466372,-1.0215906748299328,1.0104780561895748,-0.6346064355074478,-0.12505275835956192,-0.4535342037108046,-0.35468281748067143,0.18429702890402702,-0.8866565531177057,0.5121685545216249,-1.0763999300641975,-0.35012881797743917,0.06873581711016968,-0.08852832169503222,-0.8304589792998465,0.08061269417077241,0.615407690685126,0.9418764439566019,-0.9322743822938226,0.5361921084447562,0.23478895858619164,-0.4915636825834264,0.2959267581089829,0.12822850763727203,-0.17604274399478664,-0.6680843486190366,-1.4896015883664944,-0.08109788923683964
