feature,rank
feat_475,1
feat_241,2
feat_336,3
feat_64,4
feat_128,5
feat_105,6
feat_48,7
feat_378,8
feat_338,9
feat_442,10
feat_472,11
feat_493,12
feat_453,13
feat_424,14
feat_264,15
feat_205,16
feat_468,17
feat_199,18
feat_497,19
feat_438,20
feat_282,21
feat_294,22
feat_481,23
feat_42,24
feat_458,25
feat_296,26
feat_10,27
feat_44,28
feat_196,29
feat_323,30
feat_430,31
feat_309,32
feat_120,33
feat_137,34
feat_26,35
feat_347,36
feat_119,37
feat_139,38
feat_410,39
feat_251,40
feat_384,41
feat_85,42
feat_411,43
feat_146,44
feat_454,45
feat_55,46
feat_253,47
feat_175,48
feat_153,49
feat_43,50
