feature,rank
radius_mean,1
texture_mean,2
perimeter_mean,3
area_mean,4
smoothness_mean,5
compactness_mean,6
concavity_mean,7
concave_points_mean,8
radius_se,9
perimeter_se,10
area_se,11
concavity_se,12
radius_worst,13
texture_worst,14
perimeter_worst,15
area_worst,16
smoothness_worst,17
compactness_worst,18
concavity_worst,19
concave_points_worst,20
symmetry_worst,21
fractal_dimension_worst,22
