feature,rank
concave_points_worst,1
radius_worst,2
concave_points_mean,3
perimeter_worst,4
area_worst,5
perimeter_mean,6
radius_mean,7
concavity_mean,8
area_mean,9
concavity_worst,10
compactness_mean,11
compactness_worst,12
radius_se,13
texture_worst,14
concave_points_se,15
perimeter_se,16
texture_mean,17
smoothness_worst,18
symmetry_worst,19
area_se,20
smoothness_mean,21
compactness_se,22
fractal_dimension_worst,23
symmetry_mean,24
smoothness_se,25
symmetry_se,26
concavity_se,27
texture_se,28
fractal_dimension_mean,29
fractal_dimension_se,30
