feature,rank
feat_241,1
feat_43,2
feat_311,3
feat_154,4
feat_139,5
feat_31,6
feat_205,7
feat_147,8
feat_368,9
feat_459,10
feat_30,11
feat_346,12
feat_211,13
feat_486,14
feat_295,15
feat_66,16
feat_431,17
feat_75,18
feat_85,19
feat_42,20
feat_34,21
feat_479,22
feat_382,23
feat_386,24
feat_304,25
feat_74,26
feat_408,27
feat_419,28
feat_322,29
feat_334,30
feat_297,31
feat_374,32
feat_323,33
feat_263,34
feat_477,35
feat_120,36
feat_238,37
feat_483,38
feat_306,39
feat_36,40
feat_332,41
feat_254,42
feat_144,43
feat_338,44
feat_126,45
feat_443,46
feat_137,47
feat_370,48
feat_251,49
feat_130,50
