dataset,tests,variables_con_flag,max_psi,max_distancia,max_drift_score
breast_cancer_wisconsin,60,25,0.49954594565735666,0.2368841899529175,0.49954594565735666
customer_churn,20,0,0.0002833192726465603,0.013086940165654945,0.013086940165654945
madelon,1000,41,0.18123827728282862,0.23535979255734177,0.23535979255734177
olive_oil_3class,16,7,0.339128198760419,0.2101669517936339,0.339128198760419
olive_oil_9class,16,6,0.3288815403895423,0.1630080957288773,0.3288815403895423
