dataset,auc_cv,auc_fold_std,auc_min,auc_max,n_muestras_usadas,features_usadas
breast_cancer_wisconsin,0.5223221229420039,0.07778950661651815,0.4522058823529412,0.6552494415487714,484,30
customer_churn,0.51637875,0.01258476028018807,0.49711249999999996,0.526704861111111,12000,10
madelon,0.47597619047619044,0.053592449579464393,0.39065476190476195,0.525892857142857,1700,500
olive_oil_3class,0.5133496732026144,0.05876737970092168,0.4610294117647059,0.6073529411764707,486,8
olive_oil_9class,0.5350245098039216,0.05924369954837726,0.4573529411764705,0.6229166666666667,486,8
