dataset,beta,shots,qfs_n,k_budget,elapsed_seconds,dist_ratio_rydberg,cost_f,count,bitstring,selected_features,density__feat_241,density__feat_43,density__feat_311,density__feat_154,density__feat_139,density__feat_31,density__feat_205,density__feat_147,density__feat_368,density__feat_459,density__feat_30,density__feat_346,density__feat_211,density__feat_486,density__feat_295,density__feat_66,density__feat_431,density__feat_75,density__feat_85,density__feat_42
madelon,0.5,10000,20,10,288.821932294406,0.7071067811865475,0.48232843255822744,1,11000000000000100010,feat_241|feat_43|feat_295|feat_85,1.0,0.618,0.057,0.324,0.011,0.017,0.324,0.247,0.084,0.033,0.077,0.772,0.286,0.001,0.865,0.069,0.064,0.022,0.574,0.598
madelon,0.5,10000,20,10,288.821932294406,0.7071067811865475,0.8027405079431507,1,10001001000000100000,feat_241|feat_139|feat_147|feat_295,1.0,0.618,0.057,0.324,0.011,0.017,0.324,0.247,0.084,0.033,0.077,0.772,0.286,0.001,0.865,0.069,0.064,0.022,0.574,0.598
madelon,0.5,10000,20,10,288.821932294406,0.7071067811865475,1.093764102114681,5,10000000000010100011,feat_241|feat_211|feat_295|feat_85|feat_42,1.0,0.618,0.057,0.324,0.011,0.017,0.324,0.247,0.084,0.033,0.077,0.772,0.286,0.001,0.865,0.069,0.064,0.022,0.574,0.598
madelon,0.5,10000,20,10,288.821932294406,0.7071067811865475,1.1299562220757289,2,10000000000110100001,feat_241|feat_346|feat_211|feat_295|feat_42,1.0,0.618,0.057,0.324,0.011,0.017,0.324,0.247,0.084,0.033,0.077,0.772,0.286,0.001,0.865,0.069,0.064,0.022,0.574,0.598
madelon,0.5,10000,20,10,288.821932294406,0.7071067811865475,1.2565509201144782,1,11100000000000100010,feat_241|feat_43|feat_311|feat_295|feat_85,1.0,0.618,0.057,0.324,0.011,0.017,0.324,0.247,0.084,0.033,0.077,0.772,0.286,0.001,0.865,0.069,0.064,0.022,0.574,0.598
madelon,0.5,10000,20,10,288.821932294406,0.7071067811865475,1.2566334968074253,1,11000000010000100010,feat_241|feat_43|feat_459|feat_295|feat_85,1.0,0.618,0.057,0.324,0.011,0.017,0.324,0.247,0.084,0.033,0.077,0.772,0.286,0.001,0.865,0.069,0.064,0.022,0.574,0.598
madelon,0.5,10000,20,10,288.821932294406,0.7071067811865475,1.2902789269958457,1,11000001000100100000,feat_241|feat_43|feat_147|feat_346|feat_295,1.0,0.618,0.057,0.324,0.011,0.017,0.324,0.247,0.084,0.033,0.077,0.772,0.286,0.001,0.865,0.069,0.064,0.022,0.574,0.598
madelon,0.5,10000,20,10,288.821932294406,0.7071067811865475,1.2964080515203604,2,11000000000100000011,feat_241|feat_43|feat_346|feat_85|feat_42,1.0,0.618,0.057,0.324,0.011,0.017,0.324,0.247,0.084,0.033,0.077,0.772,0.286,0.001,0.865,0.069,0.064,0.022,0.574,0.598
madelon,0.5,10000,20,10,288.821932294406,0.7071067811865475,1.307007027640303,5,11000000000100100010,feat_241|feat_43|feat_346|feat_295|feat_85,1.0,0.618,0.057,0.324,0.011,0.017,0.324,0.247,0.084,0.033,0.077,0.772,0.286,0.001,0.865,0.069,0.064,0.022,0.574,0.598
madelon,0.5,10000,20,10,288.821932294406,0.7071067811865475,1.3087840544443088,1,11000001001100000000,feat_241|feat_43|feat_147|feat_30|feat_346,1.0,0.618,0.057,0.324,0.011,0.017,0.324,0.247,0.084,0.033,0.077,0.772,0.286,0.001,0.865,0.069,0.064,0.022,0.574,0.598
