dataset,beta,shots,qfs_n,k_budget,elapsed_seconds,dist_ratio_rydberg,cost_f,count,bitstring,selected_features,density__feat_241,density__feat_43,density__feat_311,density__feat_154,density__feat_139,density__feat_31,density__feat_205,density__feat_147,density__feat_368,density__feat_459,density__feat_30,density__feat_346,density__feat_211,density__feat_486,density__feat_295,density__feat_66,density__feat_431,density__feat_75,density__feat_85,density__feat_42
madelon,1.0,10000,20,10,183.3561937753111,0.7071067811865475,-0.08040192190509798,2,10000000000000100010,feat_241|feat_295|feat_85,0.998,0.659,0.037,0.193,0.002,0.088,0.031,0.62,0.119,0.01,0.022,0.222,0.148,0.025,0.814,0.002,0.278,0.012,0.668,0.239
madelon,1.0,10000,20,10,183.3561937753111,0.7071067811865475,-0.0199309984466276,1,11000000000000000010,feat_241|feat_43|feat_85,0.998,0.659,0.037,0.193,0.002,0.088,0.031,0.62,0.119,0.01,0.022,0.222,0.148,0.025,0.814,0.002,0.278,0.012,0.668,0.239
madelon,1.0,10000,20,10,183.3561937753111,0.7071067811865475,0.027181196236223615,1,10000000000100100000,feat_241|feat_346|feat_295,0.998,0.659,0.037,0.193,0.002,0.088,0.031,0.62,0.119,0.01,0.022,0.222,0.148,0.025,0.814,0.002,0.278,0.012,0.668,0.239
madelon,1.0,10000,20,10,183.3561937753111,0.7071067811865475,0.3773352874088921,1,10000000000110000001,feat_241|feat_346|feat_211|feat_42,0.998,0.659,0.037,0.193,0.002,0.088,0.031,0.62,0.119,0.01,0.022,0.222,0.148,0.025,0.814,0.002,0.278,0.012,0.668,0.239
madelon,1.0,10000,20,10,183.3561937753111,0.7071067811865475,0.4077424133069478,1,10000000000000100011,feat_241|feat_295|feat_85|feat_42,0.998,0.659,0.037,0.193,0.002,0.088,0.031,0.62,0.119,0.01,0.022,0.222,0.148,0.025,0.814,0.002,0.278,0.012,0.668,0.239
madelon,1.0,10000,20,10,183.3561937753111,0.7071067811865475,0.43269704624557437,1,10010000000000100000,feat_241|feat_154|feat_295,0.998,0.659,0.037,0.193,0.002,0.088,0.031,0.62,0.119,0.01,0.022,0.222,0.148,0.025,0.814,0.002,0.278,0.012,0.668,0.239
madelon,1.0,10000,20,10,183.3561937753111,0.7071067811865475,0.45881418482455205,1,10000000000000001011,feat_241|feat_431|feat_85|feat_42,0.998,0.659,0.037,0.193,0.002,0.088,0.031,0.62,0.119,0.01,0.022,0.222,0.148,0.025,0.814,0.002,0.278,0.012,0.668,0.239
madelon,1.0,10000,20,10,183.3561937753111,0.7071067811865475,0.48232843255822744,8,11000000000000100010,feat_241|feat_43|feat_295|feat_85,0.998,0.659,0.037,0.193,0.002,0.088,0.031,0.62,0.119,0.01,0.022,0.222,0.148,0.025,0.814,0.002,0.278,0.012,0.668,0.239
madelon,1.0,10000,20,10,183.3561937753111,0.7071067811865475,0.4831545188465136,1,10000000000100000011,feat_241|feat_346|feat_85|feat_42,0.998,0.659,0.037,0.193,0.002,0.088,0.031,0.62,0.119,0.01,0.022,0.222,0.148,0.025,0.814,0.002,0.278,0.012,0.668,0.239
madelon,1.0,10000,20,10,183.3561937753111,0.7071067811865475,0.4842864071216403,2,11000000000100100000,feat_241|feat_43|feat_346|feat_295,0.998,0.659,0.037,0.193,0.002,0.088,0.031,0.62,0.119,0.01,0.022,0.222,0.148,0.025,0.814,0.002,0.278,0.012,0.668,0.239
madelon,1.0,10000,20,10,183.3561937753111,0.7071067811865475,0.4870965814566558,2,10000000100000000011,feat_241|feat_368|feat_85|feat_42,0.998,0.659,0.037,0.193,0.002,0.088,0.031,0.62,0.119,0.01,0.022,0.222,0.148,0.025,0.814,0.002,0.278,0.012,0.668,0.239
