dataset,configuration,candidate_experiment_id,candidate_model_name,baseline_experiment_id,baseline_model_name,baseline_test_macro_f1,candidate_test_macro_f1,difference_macro_f1,ci_low,ci_high,sign_permutation_p_value,label_permutation_p_value,n_bootstrap,n_sign_permutations,n_label_permutations,p_value_fdr,p_value_holm
madelon,qfs_na,madelon__qfs_na__linear_svm,linear_svm,madelon__all_features__xgboost,xgboost,0.813034188034188,0.6466509622649895,-0.1663832257691985,-0.22235148263508028,-0.10566018923320901,0.0004997501249375312,0.001996007984031936,400,2000,500,0.001249375312343828,0.019990004997501247
madelon,qfs_na,madelon__qfs_na__random_forest,random_forest,madelon__all_features__xgboost,xgboost,0.813034188034188,0.6097875509999889,-0.2032466370341991,-0.2671093379885216,-0.1434887253527127,0.0004997501249375312,0.001996007984031936,400,2000,500,0.001249375312343828,0.019990004997501247
madelon,qfs_na,madelon__qfs_na__xgboost,xgboost,madelon__all_features__xgboost,xgboost,0.813034188034188,0.5965545984995833,-0.21647958953460478,-0.27793144823130267,-0.15321063538821686,0.0004997501249375312,0.001996007984031936,400,2000,500,0.001249375312343828,0.019990004997501247
madelon,qfs_oracle_mucke,madelon__qfs_oracle_mucke__logistic_regression,logistic_regression,madelon__all_features__xgboost,xgboost,0.813034188034188,0.6399839992888572,-0.17305018874533085,-0.23437026167988964,-0.11623000061457196,0.0004997501249375312,0.001996007984031936,400,2000,500,0.001249375312343828,0.019990004997501247
madelon,qfs_oracle_mucke,madelon__qfs_oracle_mucke__linear_svm,linear_svm,madelon__all_features__xgboost,xgboost,0.813034188034188,0.6432976630996432,-0.16973652493454483,-0.22739635191983842,-0.10517005036317019,0.0004997501249375312,0.001996007984031936,400,2000,500,0.001249375312343828,0.019990004997501247
madelon,qfs_oracle_mucke,madelon__qfs_oracle_mucke__random_forest,random_forest,madelon__all_features__xgboost,xgboost,0.813034188034188,0.6127136752136753,-0.20032051282051277,-0.2600882607018651,-0.1368238269018154,0.0004997501249375312,0.001996007984031936,400,2000,500,0.001249375312343828,0.019990004997501247
madelon,qfs_oracle_mucke,madelon__qfs_oracle_mucke__xgboost,xgboost,madelon__all_features__xgboost,xgboost,0.813034188034188,0.6066491844081959,-0.2063850036259921,-0.2696110663374251,-0.14764904485783248,0.0004997501249375312,0.001996007984031936,400,2000,500,0.001249375312343828,0.019990004997501247
olive_oil_3class,qfs_na,olive_oil_3class__qfs_na__logistic_regression,logistic_regression,olive_oil_3class__all_features__linear_svm,linear_svm,1.0,0.9893990294886151,-0.010600970511384866,-0.034942403299403464,0.0,1.0,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_3class,qfs_na,olive_oil_3class__qfs_na__linear_svm,linear_svm,olive_oil_3class__all_features__linear_svm,linear_svm,1.0,1.0,0.0,0.0,0.0,1.0,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_3class,qfs_na,olive_oil_3class__qfs_na__random_forest,random_forest,olive_oil_3class__all_features__linear_svm,linear_svm,1.0,1.0,0.0,0.0,0.0,1.0,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_3class,qfs_na,olive_oil_3class__qfs_na__xgboost,xgboost,olive_oil_3class__all_features__linear_svm,linear_svm,1.0,1.0,0.0,0.0,0.0,1.0,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_3class,qfs_oracle_mucke,olive_oil_3class__qfs_oracle_mucke__logistic_regression,logistic_regression,olive_oil_3class__all_features__linear_svm,linear_svm,1.0,0.9790189125295509,-0.020981087470449133,-0.05498533724340182,0.0,0.5002498750624688,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_3class,qfs_oracle_mucke,olive_oil_3class__qfs_oracle_mucke__linear_svm,linear_svm,olive_oil_3class__all_features__linear_svm,linear_svm,1.0,1.0,0.0,0.0,0.0,1.0,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_3class,qfs_oracle_mucke,olive_oil_3class__qfs_oracle_mucke__random_forest,random_forest,olive_oil_3class__all_features__linear_svm,linear_svm,1.0,1.0,0.0,0.0,0.0,1.0,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_3class,qfs_oracle_mucke,olive_oil_3class__qfs_oracle_mucke__xgboost,xgboost,olive_oil_3class__all_features__linear_svm,linear_svm,1.0,1.0,0.0,0.0,0.0,1.0,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_9class,qfs_na,olive_oil_9class__qfs_na__logistic_regression,logistic_regression,olive_oil_9class__all_features__linear_svm,linear_svm,0.8387318563789152,0.9685482273717567,0.1298163709928415,0.05037037037037055,0.2319313801446483,0.1329335332333833,0.001996007984031936,400,2000,500,0.2954078516297407,1.0
olive_oil_9class,qfs_na,olive_oil_9class__qfs_na__linear_svm,linear_svm,olive_oil_9class__all_features__linear_svm,linear_svm,0.8387318563789152,0.8737272101823186,0.03499535380340335,-0.03596049540128475,0.11160340688118461,1.0,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_9class,qfs_na,olive_oil_9class__qfs_na__random_forest,random_forest,olive_oil_9class__all_features__linear_svm,linear_svm,0.8387318563789152,0.8542568542568543,0.01552499787793904,-0.04679167901433116,0.09902827739998786,1.0,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_9class,qfs_na,olive_oil_9class__qfs_na__xgboost,xgboost,olive_oil_9class__all_features__linear_svm,linear_svm,0.8387318563789152,0.9514991181657848,0.11276726178686958,-0.012010710613651703,0.22887967266228124,0.3453273363318341,0.001996007984031936,400,2000,500,0.7270049185933349,1.0
olive_oil_9class,qfs_oracle_mucke,olive_oil_9class__qfs_oracle_mucke__logistic_regression,logistic_regression,olive_oil_9class__all_features__linear_svm,linear_svm,0.8387318563789152,0.9824915824915826,0.1437597261126674,0.041491098921654423,0.27155736579817874,0.06446776611694154,0.001996007984031936,400,2000,500,0.15168886145162716,1.0
olive_oil_9class,qfs_oracle_mucke,olive_oil_9class__qfs_oracle_mucke__linear_svm,linear_svm,olive_oil_9class__all_features__linear_svm,linear_svm,0.8387318563789152,0.8408661513924671,0.00213429501355189,-0.08625824497563617,0.08970886626846386,1.0,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_9class,qfs_oracle_mucke,olive_oil_9class__qfs_oracle_mucke__random_forest,random_forest,olive_oil_9class__all_features__linear_svm,linear_svm,0.8387318563789152,0.8027577360910695,-0.035974120287845746,-0.13227996461742586,0.07556456124390909,1.0,0.001996007984031936,400,2000,500,1.0,1.0
olive_oil_9class,qfs_oracle_mucke,olive_oil_9class__qfs_oracle_mucke__xgboost,xgboost,olive_oil_9class__all_features__linear_svm,linear_svm,0.8387318563789152,0.9059549745824255,0.06722311820351023,-0.08030617068117062,0.17882074848272916,1.0,0.001996007984031936,400,2000,500,1.0,1.0
