dataset,configuration,qfs_model_name,baseline_model_name,n_features_used,selected_features,baseline_test_macro_f1,qfs_test_macro_f1,qfs_test_balanced_accuracy,qfs_test_auc_roc,delta_test_macro_f1,delta_ci_low,delta_ci_high,p_valor_pareado_fdr,p_valor_pareado_holm,p_valor_label_permutation,veredicto
breast_cancer_wisconsin,qfs_na,random_forest,linear_svm,10,texture_worst|concave_points_mean|radius_mean|fractal_dimension_se|concavity_mean|smoothness_worst|area_worst|texture_mean|concavity_worst|area_mean,0.9373816805009465,0.9373816805009465,0.9346064814814814,0.9620949074074074,0.0,-0.04977667194553649,0.04887592393558836,1.0,1.0,0.001996007984031936,equivalente
customer_churn,qfs_na,xgboost,xgboost,10,age|support_calls|payment_delay|total_spend|gender_Female|gender_Male|subscription_type_Basic|subscription_type_Premium|subscription_type_Standard|contract_length_Monthly,0.9998152056674428,0.9873053370324815,0.9889733333333333,0.9950523905676857,-0.012509868634961285,-0.013389536233551344,-0.011622169567123784,0.001249375312343828,0.019990004997501247,0.001996007984031936,deterioro
madelon,qfs_na,linear_svm,xgboost,10,feat_241|feat_43|feat_205|feat_147|feat_346|feat_211|feat_295|feat_431|feat_85|feat_42,0.813034188034188,0.6466509622649895,0.6466666666666667,,-0.1663832257691985,-0.22235148263508028,-0.10566018923320901,0.001249375312343828,0.019990004997501247,0.001996007984031936,deterioro
olive_oil_3class,qfs_na,linear_svm,linear_svm,5,stearic|linolenic|arachidic|eicosenoic|other,1.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.001996007984031936,equivalente
olive_oil_9class,qfs_na,random_forest,linear_svm,5,oleic|linoleic|linolenic|arachidic|other,0.8387318563789152,0.8542568542568543,0.8833333333333333,,0.01552499787793904,-0.04679167901433116,0.09902827739998786,1.0,1.0,0.001996007984031936,equivalente
