dataset,beta,shots,qfs_n,k_budget,elapsed_seconds,dist_ratio_rydberg,cost_f,count,bitstring,selected_features,density__feat_241,density__feat_43,density__feat_311,density__feat_154,density__feat_139,density__feat_31,density__feat_205,density__feat_147,density__feat_368,density__feat_459,density__feat_30,density__feat_346,density__feat_211,density__feat_486,density__feat_295,density__feat_66,density__feat_431,density__feat_75,density__feat_85,density__feat_42
madelon,0.4,10000,20,10,228.2892230162397,0.7071067811865475,0.6180125821510019,1,10000000000100100010,feat_241|feat_346|feat_295|feat_85,0.999,0.699,0.054,0.563,0.003,0.29,0.163,0.489,0.093,0.022,0.073,0.781,0.273,0.003,0.921,0.001,0.044,0.004,0.532,0.694
madelon,0.4,10000,20,10,228.2892230162397,0.7071067811865475,1.1834674226982989,2,10000001000010100001,feat_241|feat_147|feat_211|feat_295|feat_42,0.999,0.699,0.054,0.563,0.003,0.29,0.163,0.489,0.093,0.022,0.073,0.781,0.273,0.003,0.921,0.001,0.044,0.004,0.532,0.694
madelon,0.4,10000,20,10,228.2892230162397,0.7071067811865475,1.235485896856899,2,10000000000100100011,feat_241|feat_346|feat_295|feat_85|feat_42,0.999,0.699,0.054,0.563,0.003,0.29,0.163,0.489,0.093,0.022,0.073,0.781,0.273,0.003,0.921,0.001,0.044,0.004,0.532,0.694
madelon,0.4,10000,20,10,228.2892230162397,0.7071067811865475,1.2902789269958457,2,11000001000100100000,feat_241|feat_43|feat_147|feat_346|feat_295,0.999,0.699,0.054,0.563,0.003,0.29,0.163,0.489,0.093,0.022,0.073,0.781,0.273,0.003,0.921,0.001,0.044,0.004,0.532,0.694
madelon,0.4,10000,20,10,228.2892230162397,0.7071067811865475,1.3315706613185776,1,10010000000000100010,feat_241|feat_154|feat_295|feat_85,0.999,0.699,0.054,0.563,0.003,0.29,0.163,0.489,0.093,0.022,0.073,0.781,0.273,0.003,0.921,0.001,0.044,0.004,0.532,0.694
madelon,0.4,10000,20,10,228.2892230162397,0.7071067811865475,1.4019685660465664,1,11000010000100000000,feat_241|feat_43|feat_205|feat_346,0.999,0.699,0.054,0.563,0.003,0.29,0.163,0.489,0.093,0.022,0.073,0.781,0.273,0.003,0.921,0.001,0.044,0.004,0.532,0.694
madelon,0.4,10000,20,10,228.2892230162397,0.7071067811865475,1.4212049960398252,1,10010000000100100000,feat_241|feat_154|feat_346|feat_295,0.999,0.699,0.054,0.563,0.003,0.29,0.163,0.489,0.093,0.022,0.073,0.781,0.273,0.003,0.921,0.001,0.044,0.004,0.532,0.694
madelon,0.4,10000,20,10,228.2892230162397,0.7071067811865475,2.123226479955103,1,10000000000110100011,feat_241|feat_346|feat_211|feat_295|feat_85|feat_42,0.999,0.699,0.054,0.563,0.003,0.29,0.163,0.489,0.093,0.022,0.073,0.781,0.273,0.003,0.921,0.001,0.044,0.004,0.532,0.694
madelon,0.4,10000,20,10,228.2892230162397,0.7071067811865475,2.175708472086915,3,10000001000110100001,feat_241|feat_147|feat_346|feat_211|feat_295|feat_42,0.999,0.699,0.054,0.563,0.003,0.29,0.163,0.489,0.093,0.022,0.073,0.781,0.273,0.003,0.921,0.001,0.044,0.004,0.532,0.694
madelon,0.4,10000,20,10,228.2892230162397,0.7071067811865475,2.1866389419363714,1,11000100000110000001,feat_241|feat_43|feat_31|feat_346|feat_211|feat_42,0.999,0.699,0.054,0.563,0.003,0.29,0.163,0.489,0.093,0.022,0.073,0.781,0.273,0.003,0.921,0.001,0.044,0.004,0.532,0.694
madelon,0.4,10000,20,10,228.2892230162397,0.7071067811865475,2.2120385776070757,1,11000101000100100000,feat_241|feat_43|feat_31|feat_147|feat_346|feat_295,0.999,0.699,0.054,0.563,0.003,0.29,0.163,0.489,0.093,0.022,0.073,0.781,0.273,0.003,0.921,0.001,0.044,0.004,0.532,0.694
