dataset,configuration,alpha,beta,k,n_features,selected_features,validation_macro_f1,validation_balanced_accuracy,validation_accuracy,fit_seconds
olive_oil_9class,qfs_na,0.5,0.2,5,5,oleic|linoleic|linolenic|arachidic|other,0.957227449384312,0.9532627865961198,0.9651162790697675,0.28841211274266243
olive_oil_9class,qfs_oracle_mucke,0.75,,5,5,stearic|oleic|linolenic|arachidic|other,0.8544982976355525,0.8567019400352733,0.9069767441860465,0.23039158433675766
