feature,rank
perimeter_worst,1
area_worst,2
concave_points_worst,3
concave_points_mean,4
concavity_mean,5
radius_worst,6
radius_mean,7
concavity_worst,8
area_mean,9
area_se,10
perimeter_mean,11
texture_worst,12
compactness_worst,13
smoothness_worst,14
radius_se,15
concavity_se,16
texture_mean,17
compactness_mean,18
smoothness_mean,19
fractal_dimension_worst,20
perimeter_se,21
symmetry_worst,22
fractal_dimension_mean,23
fractal_dimension_se,24
texture_se,25
concave_points_se,26
smoothness_se,27
compactness_se,28
symmetry_mean,29
symmetry_se,30
