block,dataset,feature_set,model_name,seed,n_features,n_test,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_gap,train_val_gap,fit_seconds,predict_seconds_test,predict_us_per_sample,n_features_baseline,feature_reduction_ratio
baseline,breast_cancer_wisconsin,all_features,logistic_regression,20260607,30,86,0.9892432432432432,0.9749410377358491,0.9502314814814814,0.0390117617617618,0.014302205507394139,0.003573286347091198,0.0005685156211256981,6.61064675727556,30,0.0
baseline,breast_cancer_wisconsin,all_features,logistic_regression,1,30,86,0.9892432432432432,0.9749410377358491,0.9502314814814814,0.0390117617617618,0.014302205507394139,0.002399326302111149,0.0005647847428917885,6.567264452230099,30,0.0
baseline,breast_cancer_wisconsin,all_features,logistic_regression,7,30,86,0.9892432432432432,0.9749410377358491,0.9502314814814814,0.0390117617617618,0.014302205507394139,0.0023813461884856224,0.0005654599517583847,6.5751157181207525,30,0.0
baseline,breast_cancer_wisconsin,all_features,logistic_regression,13,30,86,0.9892432432432432,0.9749410377358491,0.9502314814814814,0.0390117617617618,0.014302205507394139,0.002395186573266983,0.0005674911662936211,6.598734491786291,30,0.0
baseline,breast_cancer_wisconsin,all_features,logistic_regression,21,30,86,0.9892432432432432,0.9749410377358491,0.9502314814814814,0.0390117617617618,0.014302205507394139,0.0023608068004250526,0.000567995011806488,6.604593160540559,30,0.0
baseline,breast_cancer_wisconsin,all_features,logistic_regression,34,30,86,0.9892432432432432,0.9749410377358491,0.9502314814814814,0.0390117617617618,0.014302205507394139,0.002361091785132885,0.0005600014701485634,6.511645001727482,30,0.0
baseline,breast_cancer_wisconsin,all_features,logistic_regression,55,30,86,0.9892432432432432,0.9749410377358491,0.9502314814814814,0.0390117617617618,0.014302205507394139,0.002365623600780964,0.0005667489022016525,6.590103513972704,30,0.0
baseline,breast_cancer_wisconsin,all_features,logistic_regression,89,30,86,0.9892432432432432,0.9749410377358491,0.9502314814814814,0.0390117617617618,0.014302205507394139,0.0023745549842715263,0.0005724448710680008,6.656335710093033,30,0.0
baseline,breast_cancer_wisconsin,all_features,logistic_regression,144,30,86,0.9892432432432432,0.9749410377358491,0.9502314814814814,0.0390117617617618,0.014302205507394139,0.0024662064388394356,0.0005673300474882126,6.596861017304798,30,0.0
baseline,breast_cancer_wisconsin,all_features,logistic_regression,233,30,86,0.9892432432432432,0.9749410377358491,0.9502314814814814,0.0390117617617618,0.014302205507394139,0.00232697743922472,0.0005619879812002182,6.534743967444398,30,0.0
baseline,breast_cancer_wisconsin,all_features,linear_svm,20260607,30,86,0.9919212422612402,0.9749410377358491,0.9373816805009465,0.05453956176029373,0.016980204525391174,0.0019457731395959854,0.0005636271089315414,6.553803592227226,30,0.0
baseline,breast_cancer_wisconsin,all_features,linear_svm,1,30,86,0.9919212422612402,0.9749410377358491,0.9373816805009465,0.05453956176029373,0.016980204525391174,0.001925397664308548,0.0005590496584773064,6.500577424154725,30,0.0
baseline,breast_cancer_wisconsin,all_features,linear_svm,7,30,86,0.9919212422612402,0.9749410377358491,0.9373816805009465,0.05453956176029373,0.016980204525391174,0.001871027983725071,0.000566534698009491,6.58761276755222,30,0.0
baseline,breast_cancer_wisconsin,all_features,linear_svm,13,30,86,0.9919212422612402,0.9749410377358491,0.9373816805009465,0.05453956176029373,0.016980204525391174,0.0018984461203217506,0.0005644252523779869,6.563084329976592,30,0.0
baseline,breast_cancer_wisconsin,all_features,linear_svm,21,30,86,0.9919212422612402,0.9749410377358491,0.9373816805009465,0.05453956176029373,0.016980204525391174,0.0018601184710860252,0.000562804751098156,6.544241291839024,30,0.0
